curb_weight_kg,engine_displacement_cc,horsepower_hp,aerodynamic_cd,frontal_area_m2,rolling_crr,cylinders,gear_count,uninformative_noise,fuel_consumption_l_100km
1382.0,2096.0,168.0,0.314,2.27,0.009,4,6,51.64,15.8
1522.9,1857.0,143.7,0.286,2.34,0.0089,4,6,55.79,15.33
1664.6,1509.0,116.6,0.302,2.16,0.0086,4,7,32.35,14.17
1344.6,1943.0,156.2,0.316,2.31,0.0087,4,7,63.92,15.34
1409.2,998.0,74.5,0.303,2.24,0.01,3,6,23.44,12.7
1206.6,2087.0,162.5,0.308,2.06,0.0087,4,7,41.33,14.14
1186.8,998.0,74.8,0.299,2.25,0.0077,3,6,46.13,11.52
1628.8,1512.0,117.6,0.28,2.05,0.0097,4,7,40.46,13.73
1748.4,1225.0,87.2,0.316,2.11,0.0088,3,6,41.52,14.1
1434.2,1158.0,65.0,0.345,2.23,0.009,3,6,78.07,13.76
1670.8,2091.0,157.6,0.31,2.24,0.0106,4,6,37.24,16.5
1529.6,1472.0,126.1,0.315,2.02,0.009,4,7,86.62,14.25
1308.1,1782.0,144.7,0.324,2.36,0.0093,4,8,56.56,15.02
1529.5,1632.0,133.7,0.285,2.29,0.0078,4,5,51.38,14.55
1788.4,1831.0,151.5,0.344,2.09,0.0088,4,5,57.14,16.5
1442.1,1679.0,128.5,0.314,1.97,0.0096,4,8,87.95,13.43
1794.2,1162.0,90.3,0.343,2.18,0.0074,3,6,35.1,14.71
920.0,2029.0,148.0,0.295,2.13,0.0092,4,6,33.19,13.74
1630.8,1462.0,108.0,0.346,2.22,0.0091,4,6,38.68,15.27
1469.2,1058.0,86.6,0.326,2.15,0.009,3,5,50.48,13.59
1384.2,1487.0,125.1,0.321,1.9,0.01,4,7,24.11,13.4
1470.2,2220.0,167.3,0.315,2.14,0.0093,4,7,50.34,15.59
1012.7,1973.0,145.5,0.305,2.15,0.0105,4,6,75.4,13.59
1401.7,1518.0,115.3,0.334,2.3,0.008,4,6,52.27,14.29
1528.6,1517.0,121.3,0.313,2.1,0.0091,4,7,45.61,13.83
1775.1,1528.0,101.7,0.271,2.45,0.0091,4,5,40.73,14.6
1336.0,2439.0,162.4,0.288,1.91,0.0079,6,7,63.48,14.66
1272.1,1795.0,130.9,0.306,2.4,0.01,4,6,37.61,15.3
1339.6,1813.0,125.6,0.316,2.17,0.0113,4,6,77.7,14.79
1651.4,2042.0,150.1,0.309,2.33,0.009,4,8,79.0,15.64
1522.3,1741.0,130.8,0.334,2.21,0.0095,4,7,53.85,15.12
1333.5,1552.0,113.4,0.271,2.37,0.0091,4,6,49.83,13.38
1562.9,1575.0,134.3,0.313,2.14,0.0083,4,7,65.46,14.19
1471.4,1623.0,126.6,0.274,2.04,0.0072,4,6,66.42,13.55
1663.1,1636.0,127.3,0.325,2.41,0.0083,4,6,37.91,16.25
1295.5,1926.0,152.6,0.308,2.18,0.0076,4,8,42.1,13.73
1377.9,1670.0,115.5,0.318,2.23,0.0107,4,7,30.16,14.55
1363.7,1928.0,156.9,0.293,2.39,0.0089,4,6,56.14,15.62
1128.0,1619.0,122.3,0.336,2.05,0.0087,4,6,60.0,13.79
1515.1,1680.0,134.4,0.331,2.29,0.0099,4,5,29.75,16.5
1507.4,998.0,65.1,0.322,2.11,0.0079,3,5,43.17,12.74
1451.1,1998.0,136.3,0.307,2.18,0.0082,4,6,29.79,15.82
1398.4,1782.0,143.6,0.322,2.21,0.0091,4,7,36.52,14.69
1138.6,2029.0,158.0,0.296,1.97,0.01,4,6,58.27,13.7
1357.5,998.0,66.8,0.327,2.08,0.0095,3,7,39.0,12.2
1374.6,2444.0,177.0,0.343,2.4,0.0092,6,5,45.49,16.5
1273.5,1597.0,132.6,0.331,2.33,0.0091,4,6,25.59,14.77
1414.5,2071.0,145.5,0.295,2.19,0.0094,4,6,52.8,14.85
1538.9,1255.0,111.8,0.317,2.24,0.0092,4,6,49.34,14.17
1865.0,1883.0,134.1,0.284,2.16,0.008,4,5,39.07,16.43
1488.4,1250.0,101.4,0.321,2.4,0.009,3,8,47.16,13.84
1506.7,1413.0,104.1,0.319,2.17,0.0079,4,6,52.7,14.05
1433.6,2377.0,186.7,0.273,2.23,0.0091,4,8,37.78,15.5
1027.9,1578.0,114.5,0.287,2.37,0.0085,4,6,27.86,13.02
1444.2,1733.0,130.1,0.304,2.08,0.0115,4,8,77.08,13.66
1463.3,1981.0,150.9,0.304,2.43,0.009,4,6,40.5,16.11
1991.9,1838.0,129.7,0.286,1.97,0.0076,4,8,48.55,15.06
1407.7,1707.0,137.2,0.318,2.44,0.0089,4,5,65.16,15.72
1516.3,1789.0,130.8,0.315,2.14,0.0095,4,7,102.94,15.08
1442.4,2563.0,192.5,0.306,2.16,0.0107,6,8,31.33,16.15
1192.9,1628.0,113.8,0.295,1.92,0.0084,4,5,56.75,12.46
1701.4,1726.0,105.6,0.331,2.13,0.0074,4,5,39.39,15.12
1615.4,2049.0,153.8,0.343,2.04,0.0098,4,6,41.92,16.3
1624.0,2070.0,181.5,0.3,2.11,0.0076,4,8,39.2,15.79
1249.9,2101.0,167.5,0.298,2.18,0.0086,4,6,33.12,14.81
1758.6,1893.0,143.7,0.32,2.34,0.0087,4,6,49.38,16.47
1141.6,1216.0,89.8,0.303,2.23,0.0089,3,5,27.88,12.35
1579.1,2271.0,172.8,0.307,2.25,0.0097,4,5,64.2,16.5
1931.9,1214.0,97.8,0.325,2.04,0.0083,3,7,50.83,14.3
1232.1,1765.0,122.3,0.272,2.07,0.0087,4,5,56.34,13.31
1325.4,1363.0,114.8,0.336,2.47,0.009,4,6,43.01,14.39
1471.9,1626.0,130.7,0.311,2.09,0.0091,4,8,44.49,14.12
1339.2,1775.0,142.1,0.302,2.45,0.0091,4,6,54.31,15.04
1108.9,1772.0,139.1,0.308,2.16,0.0094,4,7,32.54,13.4
1465.1,1810.0,137.8,0.309,2.2,0.0098,4,5,44.63,15.33
1216.3,2263.0,178.7,0.275,2.36,0.0094,4,6,37.11,15.45
1554.2,1822.0,144.4,0.34,2.39,0.0095,4,5,36.64,16.5
1247.7,1557.0,114.8,0.311,2.18,0.0074,4,7,18.35,13.13
1791.0,2016.0,147.5,0.319,2.14,0.0091,4,6,70.09,16.5
1277.7,2102.0,160.8,0.329,2.19,0.0095,4,6,39.7,15.5
1379.1,1184.0,105.4,0.29,2.25,0.0097,3,6,67.45,13.19
1629.0,1877.0,130.3,0.319,2.33,0.0083,4,5,66.03,16.27
1179.2,1916.0,131.0,0.305,2.2,0.0083,4,7,30.71,13.69
1500.0,1537.0,118.5,0.327,2.29,0.0084,4,6,33.67,14.85
1737.6,2173.0,165.6,0.267,2.45,0.0095,4,7,88.41,16.41
1096.4,1593.0,122.8,0.308,2.26,0.01,4,5,76.26,13.51
1490.6,1698.0,131.5,0.298,2.25,0.0086,4,7,49.53,14.53
1507.2,1584.0,118.2,0.319,1.97,0.0099,4,5,53.86,14.81
1622.0,1656.0,140.7,0.319,1.85,0.0091,4,6,40.54,14.9
1177.9,1233.0,77.7,0.296,2.26,0.0089,3,6,56.49,11.82
1159.5,1103.0,75.5,0.296,2.19,0.0088,3,7,39.24,11.67
1564.8,2256.0,170.4,0.308,2.12,0.0097,4,6,19.51,16.35
1515.3,1328.0,84.5,0.292,2.24,0.0093,4,7,30.18,13.37
1505.1,1273.0,95.0,0.327,2.19,0.0113,4,7,50.32,13.74
1526.2,998.0,92.5,0.303,2.37,0.0081,3,5,33.03,13.74
1300.4,1407.0,107.2,0.26,2.21,0.0095,4,6,48.99,12.63
1501.1,1147.0,89.5,0.303,2.09,0.0085,3,5,33.88,12.82
1514.5,2274.0,160.2,0.289,2.35,0.0081,4,6,38.26,16.33
1292.8,2034.0,148.4,0.277,2.17,0.009,4,7,62.8,14.35
1860.5,1389.0,101.8,0.285,2.28,0.0091,4,7,53.71,14.66
1554.2,2506.0,187.3,0.312,2.13,0.0119,6,6,49.86,16.5
1187.9,2023.0,166.6,0.337,2.1,0.0088,4,6,63.18,14.93
1594.4,1527.0,121.6,0.316,2.21,0.0079,4,6,57.21,15.0
1235.6,998.0,65.0,0.298,2.2,0.0093,3,5,71.7,11.44
1623.2,2521.0,194.0,0.319,2.27,0.0069,6,7,43.1,16.5
1704.9,1122.0,90.3,0.301,2.16,0.0089,3,6,43.56,14.16
1269.4,1025.0,89.3,0.296,1.92,0.009,3,7,30.48,11.08
1661.9,2039.0,170.7,0.287,2.14,0.0098,4,6,43.57,15.56
1540.8,2577.0,185.7,0.275,2.32,0.01,6,6,64.47,16.5
1630.9,2176.0,157.3,0.302,2.16,0.0085,4,6,69.5,15.83
1867.3,1864.0,129.1,0.313,2.16,0.0088,4,5,64.4,16.5
1396.0,1876.0,140.2,0.308,2.35,0.0082,4,6,23.09,15.29
1284.2,1974.0,154.7,0.302,2.09,0.0079,4,7,66.25,13.83
1254.3,1938.0,157.2,0.291,1.97,0.0093,4,7,22.42,13.9
1270.5,1757.0,132.8,0.322,2.18,0.0077,4,6,63.47,14.4
1433.0,1690.0,125.2,0.284,2.13,0.0086,4,6,44.48,14.1
1525.1,1626.0,125.1,0.326,2.06,0.008,4,5,60.54,14.81
1510.9,1363.0,95.3,0.29,2.17,0.0095,4,7,30.01,12.89
1632.0,1543.0,138.2,0.295,2.27,0.0108,4,5,67.57,15.79
1452.9,1007.0,65.0,0.281,2.2,0.0077,3,8,28.03,11.35
1769.8,1613.0,124.4,0.3,2.25,0.0071,4,6,39.97,14.94
1391.8,1274.0,117.1,0.33,2.47,0.0089,4,6,35.03,14.97
2048.4,1231.0,93.6,0.32,2.15,0.009,3,8,23.69,15.52
1587.6,1718.0,128.7,0.33,2.24,0.0092,4,5,51.42,15.95
1261.4,2179.0,162.0,0.32,2.12,0.0086,4,6,77.09,15.75
1214.4,1999.0,150.1,0.288,2.07,0.0088,4,6,90.0,13.94
1556.1,1053.0,93.8,0.303,2.11,0.0094,3,6,51.46,13.07
1400.8,1274.0,74.7,0.294,2.13,0.01,4,6,66.75,12.6
1607.1,2007.0,167.9,0.337,2.25,0.007,4,7,53.48,16.5
1554.1,1277.0,82.8,0.286,2.55,0.0086,4,7,57.48,13.6
1434.0,1565.0,116.2,0.328,2.09,0.0092,4,5,44.87,14.75
1263.7,1859.0,137.0,0.328,2.14,0.0081,4,8,52.93,13.75
1116.7,1282.0,103.3,0.347,2.19,0.0107,4,5,58.06,13.45
1351.8,1690.0,112.5,0.302,2.26,0.0084,4,6,41.32,14.3
1638.4,1143.0,91.5,0.324,2.24,0.009,3,6,48.84,14.14
1497.1,1421.0,128.3,0.356,2.39,0.0096,4,5,49.12,15.96
1175.9,1772.0,121.0,0.298,1.85,0.0084,4,5,62.4,13.16
1488.1,1045.0,81.3,0.279,1.85,0.0072,3,8,34.01,11.32
1534.8,1817.0,131.5,0.272,2.13,0.0086,4,6,49.23,14.48
1255.6,1643.0,129.1,0.324,2.36,0.01,4,5,78.68,14.83
1483.8,1860.0,141.5,0.272,1.97,0.0087,4,5,67.46,14.14
1462.8,1735.0,125.5,0.303,1.85,0.0082,4,7,70.24,13.38
1198.5,2168.0,169.7,0.319,2.29,0.0099,4,7,50.37,15.42
1528.7,1698.0,147.1,0.314,2.24,0.0087,4,6,54.81,15.04
1573.4,1487.0,111.1,0.319,2.04,0.0085,4,5,65.03,14.63
1688.3,1696.0,136.1,0.314,2.05,0.0091,4,6,73.4,15.33
1681.8,1856.0,128.2,0.336,2.05,0.0098,4,5,20.73,15.76
1146.9,1669.0,117.2,0.291,2.22,0.0114,4,5,30.27,13.45
1243.7,1665.0,131.3,0.296,2.11,0.0098,4,6,69.64,13.42
1563.3,1383.0,120.0,0.295,2.27,0.0102,4,6,45.85,14.41
1563.0,1398.0,109.8,0.327,1.85,0.0085,4,6,39.92,14.07
1563.3,1117.0,81.8,0.328,2.07,0.008,3,6,31.19,13.37
2297.6,2315.0,175.9,0.319,2.03,0.0091,4,8,41.67,16.5
1575.6,1177.0,77.0,0.334,2.16,0.0091,3,8,28.96,13.38
1699.8,1387.0,111.4,0.286,2.12,0.0079,4,6,81.37,13.94
1659.9,1377.0,113.5,0.343,2.32,0.0088,4,6,49.66,15.64
1593.3,1990.0,146.7,0.34,1.92,0.0094,4,6,49.13,15.88
1380.6,1538.0,112.2,0.325,2.21,0.0094,4,6,58.82,14.57
1617.0,2124.0,164.1,0.346,2.28,0.0095,4,7,64.44,16.5
1280.0,1394.0,101.6,0.277,2.48,0.0093,4,6,64.19,13.68
1397.9,1756.0,132.8,0.3,2.13,0.0085,4,7,66.1,14.16
1343.2,1333.0,122.3,0.295,2.25,0.0085,4,8,40.54,12.61
1468.0,2465.0,184.9,0.324,1.93,0.0078,6,6,45.53,16.5
1959.2,1199.0,87.5,0.289,1.85,0.0108,3,6,61.54,14.15
1039.2,1768.0,127.9,0.325,2.33,0.009,4,5,42.09,14.03
1601.0,1891.0,151.1,0.337,2.2,0.0088,4,6,49.92,16.5
1095.2,1807.0,135.5,0.324,2.38,0.0081,4,6,55.98,14.83
1346.2,1580.0,113.6,0.316,1.99,0.0119,4,6,61.78,13.82
1689.6,1601.0,134.9,0.29,2.28,0.0079,4,7,23.33,14.7
1464.1,1667.0,140.9,0.293,2.48,0.0086,4,5,60.72,15.36
1212.9,1594.0,115.2,0.335,2.26,0.0094,4,6,46.49,14.34
1292.6,2016.0,134.6,0.326,2.24,0.0096,4,6,60.61,15.54
1599.5,2490.0,199.3,0.309,2.2,0.01,6,7,61.65,16.5
1289.3,1438.0,102.5,0.302,1.96,0.0108,4,6,74.12,12.83
1497.6,1129.0,93.7,0.269,2.4,0.0095,3,7,70.3,13.27
1460.0,1616.0,103.1,0.289,2.11,0.0079,4,6,70.2,13.44
1306.6,2630.0,208.8,0.348,2.28,0.0087,6,6,71.66,16.5
1921.7,1345.0,90.1,0.284,1.97,0.0093,4,5,54.37,14.46
1589.5,2273.0,180.0,0.314,2.02,0.0111,4,6,50.48,16.5
1004.5,2288.0,174.0,0.33,2.42,0.0076,4,7,63.09,15.18
1491.0,1440.0,99.9,0.285,2.15,0.0102,4,6,60.98,13.56
1304.4,1866.0,137.8,0.314,2.42,0.0092,4,7,45.36,14.84
1637.5,2269.0,179.3,0.329,2.19,0.0098,4,6,56.07,16.5
1275.6,1506.0,115.5,0.31,1.92,0.0089,4,5,49.47,12.94
1424.8,1573.0,125.4,0.367,2.33,0.0082,4,5,37.19,15.75
1561.1,1429.0,128.4,0.277,2.11,0.0098,4,6,69.36,14.39
1640.5,1264.0,80.5,0.331,2.3,0.0097,4,7,50.83,14.68
1185.9,1403.0,122.8,0.307,2.2,0.01,4,7,80.73,12.33
1376.4,1185.0,91.1,0.325,1.97,0.009,3,6,25.62,12.55
1345.5,1663.0,117.4,0.319,2.22,0.0084,4,6,41.65,13.8
1306.3,1357.0,89.9,0.295,2.53,0.0074,4,6,50.49,13.19
1838.4,1739.0,130.3,0.315,2.27,0.0098,4,6,67.06,15.71
1539.1,1059.0,89.7,0.273,2.19,0.0094,3,6,55.99,12.69
1172.6,1776.0,133.7,0.322,2.36,0.008,4,5,54.66,14.42
1651.9,1967.0,164.6,0.316,2.23,0.0085,4,5,33.09,16.5
1916.9,998.0,65.0,0.323,2.23,0.0085,3,5,32.65,14.41
1677.1,1792.0,136.1,0.331,2.04,0.0075,4,5,54.84,15.78
1115.7,2117.0,148.3,0.317,2.24,0.0082,4,5,29.54,14.79
1343.5,1190.0,94.1,0.313,2.36,0.0079,3,6,42.02,13.66
1728.7,2286.0,182.6,0.292,2.07,0.0086,4,6,57.51,16.5
1294.3,1809.0,133.3,0.296,2.41,0.0083,4,8,35.27,14.19
1547.6,1382.0,79.0,0.334,2.19,0.0074,4,5,74.08,14.24
1620.4,1629.0,125.8,0.339,2.07,0.011,4,6,68.36,15.99
1246.1,1862.0,145.9,0.305,2.35,0.0103,4,6,26.43,14.51
1436.9,1679.0,131.6,0.311,2.16,0.0082,4,5,36.01,14.37
920.0,1855.0,153.3,0.292,2.31,0.0093,4,7,15.71,13.07
1224.6,1300.0,88.1,0.333,2.16,0.0094,4,5,38.26,13.87
1394.4,1714.0,137.1,0.323,2.19,0.0102,4,8,61.5,14.35
1175.5,1113.0,96.5,0.349,2.27,0.0082,3,7,43.79,12.76
1809.1,1608.0,104.4,0.292,2.24,0.0101,4,6,56.91,15.03
1135.4,1307.0,102.5,0.302,1.9,0.0085,4,6,27.16,11.84
1353.2,1370.0,99.1,0.315,2.03,0.0077,4,7,61.97,12.83
1478.8,2120.0,160.3,0.323,2.34,0.0097,4,6,41.67,16.5
1767.1,2065.0,160.4,0.306,2.18,0.0103,4,6,50.18,16.5
1134.1,1881.0,138.1,0.293,2.12,0.0116,4,5,48.61,13.92
1705.9,1235.0,87.1,0.328,2.0,0.0078,3,5,30.93,13.81
1452.3,1530.0,116.6,0.324,2.04,0.0097,4,6,32.7,14.16
1234.1,2111.0,149.6,0.292,1.9,0.0086,4,6,64.52,13.53
1551.7,1704.0,118.6,0.337,2.18,0.0098,4,7,55.98,14.88
1493.8,2531.0,199.2,0.333,2.11,0.0075,6,5,65.75,16.5
1318.0,1799.0,125.3,0.313,2.06,0.0077,4,7,54.87,13.47
1465.4,1723.0,137.6,0.312,2.19,0.0082,4,6,52.14,14.65
1365.2,1533.0,121.1,0.321,2.25,0.0091,4,6,24.11,14.45
1475.0,1701.0,112.0,0.293,2.51,0.0084,4,6,45.94,14.95
1595.7,1592.0,114.2,0.311,1.97,0.0097,4,6,49.59,14.25
1798.9,1919.0,157.8,0.267,2.37,0.01,4,5,79.3,16.5
1177.7,2014.0,143.2,0.328,2.35,0.0096,4,6,60.3,14.99
1919.3,1351.0,98.1,0.279,2.08,0.0106,4,7,73.04,14.43
1020.5,1144.0,91.6,0.34,2.23,0.0094,3,6,58.96,12.44
1416.6,998.0,83.7,0.303,2.13,0.0078,3,6,39.33,11.94
1579.4,1843.0,137.6,0.306,2.23,0.0104,4,7,51.76,15.61
1511.8,1231.0,87.6,0.297,2.43,0.0084,3,7,53.54,13.3
1313.0,998.0,90.1,0.304,2.29,0.0099,3,6,35.91,12.72
1404.2,1798.0,154.0,0.338,2.28,0.0106,4,6,44.23,16.19
1341.5,2597.0,207.2,0.26,2.14,0.0095,6,7,46.91,15.82
1320.3,1648.0,126.1,0.336,1.98,0.0075,4,6,74.08,13.77
1636.9,1969.0,141.5,0.317,2.17,0.0081,4,6,18.79,15.8
1528.5,1681.0,119.5,0.286,2.38,0.0103,4,6,68.09,15.19
1297.6,1612.0,127.8,0.288,1.97,0.0088,4,7,35.95,12.91
1647.9,1999.0,156.1,0.344,2.04,0.0091,4,5,29.42,16.5
1517.6,1540.0,131.0,0.291,2.22,0.0098,4,8,67.7,13.68
1628.8,1752.0,139.6,0.287,2.05,0.0097,4,5,60.98,14.6
1588.5,1772.0,119.7,0.333,2.08,0.0093,4,7,68.82,15.06
1267.6,1396.0,116.6,0.317,2.14,0.0088,4,6,62.01,13.25
1326.8,2027.0,144.1,0.291,2.0,0.0087,4,6,80.9,14.43
1614.4,1584.0,116.5,0.314,2.05,0.0099,4,7,58.38,14.51
1584.3,1363.0,106.1,0.289,2.31,0.0096,4,6,47.65,14.54
1445.4,1854.0,160.9,0.332,2.0,0.0087,4,6,55.14,14.98
1475.8,1309.0,130.6,0.331,1.96,0.0101,4,5,68.65,14.51
1731.1,1661.0,132.3,0.321,2.11,0.0089,4,5,38.31,15.7
1319.9,1647.0,123.3,0.317,2.31,0.0081,4,6,40.22,14.56
1570.4,2063.0,162.1,0.345,2.17,0.0082,4,7,45.37,15.96
1405.5,1830.0,148.0,0.31,2.13,0.008,4,5,18.43,15.03
1402.1,1640.0,121.5,0.286,2.21,0.0087,4,5,52.07,13.65
1691.7,1961.0,167.0,0.319,1.94,0.0102,4,6,21.71,16.0
1631.6,2178.0,167.8,0.352,2.27,0.0082,4,6,50.8,16.5
1629.0,1862.0,146.5,0.29,2.26,0.0092,4,7,62.98,15.19
1737.2,1654.0,132.4,0.303,2.14,0.0083,4,5,42.85,15.29
1454.6,1152.0,91.7,0.318,2.35,0.0087,3,5,75.16,14.26
1600.0,1245.0,103.0,0.309,2.03,0.0075,3,8,28.09,12.86
1381.7,1534.0,110.4,0.29,2.37,0.0088,4,6,67.87,13.81
1521.3,1418.0,102.2,0.332,2.22,0.0088,4,7,60.13,14.27
1421.4,1579.0,109.0,0.356,2.15,0.0095,4,7,24.26,15.25
1471.3,1672.0,131.4,0.314,2.2,0.0092,4,7,90.66,14.83
1580.9,1851.0,148.5,0.292,2.18,0.0078,4,5,49.04,15.7
1270.0,1623.0,127.9,0.279,2.38,0.0101,4,7,36.84,13.71
1910.3,1835.0,156.2,0.315,2.04,0.0092,4,7,28.89,16.32
1228.7,1675.0,127.2,0.332,2.09,0.0092,4,6,46.7,13.34
1182.9,998.0,82.5,0.32,2.36,0.009,3,6,48.09,12.33
1704.8,1293.0,87.4,0.31,2.11,0.0085,4,6,51.54,13.92
1624.2,1595.0,117.4,0.298,2.34,0.0092,4,5,45.53,14.91
1587.3,1190.0,97.4,0.288,2.45,0.0095,3,6,59.5,13.84
1588.2,1878.0,151.2,0.327,2.14,0.0073,4,6,44.19,15.18
1447.3,2232.0,166.7,0.328,2.3,0.0085,4,6,20.98,16.5
1252.6,2113.0,159.9,0.279,2.03,0.0087,4,6,47.76,14.32
1466.7,1569.0,104.1,0.342,2.31,0.0093,4,6,14.49,15.4
1301.0,2216.0,164.9,0.321,2.23,0.0102,4,6,55.31,16.05
1664.5,1706.0,138.6,0.338,2.27,0.0082,4,8,35.31,15.36
1417.6,1522.0,121.4,0.283,2.1,0.0085,4,5,52.45,13.18
1268.4,1417.0,112.7,0.283,1.95,0.0085,4,6,69.71,11.76
1379.3,1535.0,117.2,0.307,2.28,0.0082,4,5,35.77,13.99
1540.8,1502.0,114.3,0.32,1.89,0.0087,4,6,65.92,13.57
1326.0,1715.0,123.7,0.346,2.15,0.0098,4,7,43.5,14.49
1269.1,1711.0,137.0,0.324,2.34,0.0079,4,8,76.3,13.85
1503.6,1651.0,129.7,0.305,2.23,0.0094,4,6,44.52,14.9
1503.9,1816.0,142.9,0.289,2.49,0.0073,4,8,37.39,14.74
1338.5,2102.0,154.5,0.335,2.35,0.0084,4,5,60.31,16.4
1346.4,2011.0,131.3,0.291,2.1,0.0087,4,6,43.46,14.56
1501.1,1086.0,93.5,0.343,2.2,0.0107,3,5,37.38,14.11
1131.4,998.0,71.1,0.304,2.19,0.0087,3,7,42.83,11.27
1140.4,2005.0,143.8,0.342,1.96,0.0068,4,6,49.33,13.96
1291.9,1131.0,92.9,0.324,2.06,0.007,3,7,70.13,11.93
1403.0,1565.0,115.0,0.307,2.12,0.009,4,7,20.99,13.78
1518.4,1205.0,102.2,0.3,1.89,0.0096,3,5,50.35,13.34
1774.6,998.0,82.0,0.303,2.21,0.0094,3,5,59.37,13.97
1638.7,1856.0,147.9,0.319,2.16,0.0092,4,7,52.9,15.59
1414.8,1938.0,133.7,0.312,1.95,0.0102,4,6,69.65,14.63
1445.8,1431.0,120.9,0.298,2.26,0.0085,4,5,48.88,14.16
1229.4,998.0,78.5,0.307,2.31,0.0099,3,6,47.23,12.5
