vehicle_id,fuel_type,transmission,vehicle_segment,owner_type,engine_size_cc,horsepower_hp,curb_weight_kg,mileage_kmpl,odometer_reading_km,maintenance_score,vehicle_price_lakhs
TAT-VEH-1052,Electric,Manual,Sedan,Second,0.0,170.7,1148.2,17.66,17493.0,,25.44
TAT-VEH-1053,CNG,Manual,Hatchback,First,1137.4,97.1,1393.0,24.54,22963.0,8.03,16.39
TAT-VEH-1054,Diesel,Automatic,Sedan,First,,114.1,1694.0,22.39,69404.0,7.51,18.01
TAT-VEH-1055,Electric,Manual,Hatchback,First,0.0,154.7,1112.5,20.5,42777.0,7.3,20.2
TAT-VEH-1056,Petrol,Manual,Sedan,First,1574.0,115.6,1587.6,16.74,48523.0,8.43,19.1
TAT-VEH-1057,Petrol,Manual,Sedan,First,1304.4,98.8,1452.7,18.05,65756.0,8.08,18.14
TAT-VEH-1058,Petrol,Manual,Sedan,First,1435.9,99.0,1534.2,12.77,7649.0,10.0,19.51
TAT-VEH-1059,,Manual,Sedan,Third,1375.1,124.1,1571.1,14.15,82596.0,7.51,18.65
TAT-VEH-1060,Petrol,Manual,Luxury,First,2709.1,215.7,2226.4,12.45,57030.0,8.8,35.94
TAT-VEH-1061,Petrol,Automatic,SUV,First,2242.7,159.3,1936.4,13.03,40754.0,8.99,25.92
TAT-VEH-1062,CNG,Manual,Sedan,First,1223.7,75.8,1349.2,21.92,101219.0,6.65,11.94
TAT-VEH-1063,Petrol,Manual,Sedan,First,1819.8,,1642.8,12.8,56225.0,,21.52
TAT-VEH-1064,Petrol,Manual,Sedan,First,1663.6,,1670.1,19.76,12137.0,,24.63
TAT-VEH-1065,Diesel,Manual,Hatchback,First,1360.6,104.9,1583.1,16.44,27275.0,8.13,17.05
TAT-VEH-1066,Petrol,Manual,Sedan,Second,1405.4,120.4,1498.7,15.88,32659.0,9.64,19.36
TAT-VEH-1067,CNG,Manual,Hatchback,First,1174.5,97.6,1366.4,23.49,4556.0,9.57,15.9
TAT-VEH-1068,Petrol,Automatic,Sedan,First,1211.4,102.5,1386.7,19.04,141188.0,,13.2
TAT-VEH-1069,Electric,Manual,Sedan,First,0.0,148.2,1156.7,25.28,8193.0,9.28,25.06
TAT-VEH-1070,Diesel,Automatic,Hatchback,First,1118.3,67.2,1331.8,21.42,55800.0,8.37,11.73
TAT-VEH-1071,Petrol,Automatic,Luxury,First,3190.5,236.9,2451.0,16.42,33756.0,8.96,38.57
TAT-VEH-1072,Petrol,Automatic,Luxury,Second,3511.4,276.1,2623.3,158.26297544797046,3168.0,9.68,47.43
TAT-VEH-1073,CNG,Manual,SUV,First,1721.2,128.5,1678.3,22.12,118411.0,6.16,20.68
TAT-VEH-1074,Diesel,Manual,Sedan,First,1424.9,112.9,1452.7,24.44,87925.0,7.52,17.16
TAT-VEH-1075,Diesel,Manual,SUV,First,1960.2,143.2,1801.2,16.87,35430.0,8.23,25.8
TAT-VEH-1076,Diesel,Manual,Hatchback,First,987.6,61.7,1293.5,20.86,13700.0,8.68,11.71
TAT-VEH-1077,,Automatic,SUV,First,2145.8,159.5,1837.2,18.68,7836.0,10.0,30.08
TAT-VEH-1078,Petrol,Manual,Hatchback,Second,1088.4,85.3,1267.6,13.83,22322.0,9.6,18.9
TAT-VEH-1079,Petrol,Manual,SUV,First,1949.2,138.3,1856.9,18.61,15273.0,9.4,26.05
TAT-VEH-1080,CNG,Automatic,Hatchback,Second,1129.2,81.9,1319.4,26.03,33798.0,9.83,11.95
TAT-VEH-1081,Diesel,Automatic,SUV,First,,123.8,1746.5,23.84,154708.0,5.22,16.56
TAT-VEH-1082,Petrol,Manual,Luxury,Second,2990.2,237.7,2383.1,14.09,40500.0,9.44,39.74
TAT-VEH-1083,Petrol,Manual,Hatchback,First,1164.7,83.8,1359.0,11.64,101299.0,7.01,12.17
TAT-VEH-1084,Petrol,Manual,Sedan,Second,1423.6,124.2,1580.7,13.98,49355.0,,22.74
TAT-VEH-1085,Petrol,Manual,Luxury,First,,221.0,2203.9,16.13,31017.0,10.0,37.18
TAT-VEH-1086,Diesel,Manual,Sedan,Third,1561.9,116.2,1593.8,19.16,88774.0,7.86,17.3
TAT-VEH-1087,Diesel,Manual,SUV,First,2411.4,168.8,1996.9,17.9,30686.0,8.85,29.06
TAT-VEH-1088,CNG,Manual,Sedan,First,1526.0,89.4,1441.6,20.68,93338.0,,12.86
TAT-VEH-1089,Diesel,Manual,Sedan,First,1697.2,109.6,1634.9,20.32,17512.0,9.06,20.35
TAT-VEH-1090,Petrol,Manual,Hatchback,Second,988.5,,1227.1,21.42,8205.0,10.0,11.9
TAT-VEH-1091,Diesel,Manual,Hatchback,First,1220.7,108.1,1439.6,20.3,88994.0,5.82,18.37
TAT-VEH-1092,,Manual,SUV,Second,1723.7,130.7,1619.5,20.71,41839.0,7.99,25.28
TAT-VEH-1093,Diesel,Automatic,Sedan,First,1202.6,94.9,1487.7,20.6,100958.0,7.5,12.64
TAT-VEH-1094,Diesel,Automatic,Sedan,First,1350.1,74.6,1452.9,20.11,127003.0,6.02,8.25
TAT-VEH-1095,Diesel,Manual,Sedan,First,1736.4,115.9,1695.7,21.61,4480.0,9.8,21.84
TAT-VEH-1096,Diesel,Manual,Sedan,Third,1688.0,137.2,1668.5,20.11,33279.0,8.04,21.2
TAT-VEH-1097,Petrol,Manual,SUV,Second,2058.8,157.9,1778.9,14.56,23148.0,10.0,26.99
TAT-VEH-1098,,Automatic,Luxury,Third,2379.9,176.7,2122.4,13.11,46240.0,9.19,31.09
TAT-VEH-1099,Petrol,Automatic,Sedan,First,1458.7,,1548.0,14.75,73005.0,,21.01
TAT-VEH-1100,Petrol,Manual,SUV,First,2073.4,175.1,1876.0,16.44,16820.0,9.08,30.02
TAT-VEH-1101,Diesel,Automatic,SUV,Second,2041.9,,1861.8,18.11,38618.0,9.31,25.53
TAT-VEH-1102,Petrol,Manual,Sedan,First,1129.2,85.5,1417.3,16.44,57507.0,9.35,12.08
TAT-VEH-1103,Diesel,Manual,Luxury,Second,2636.9,200.1,2172.0,20.23,8497.0,10.0,34.57
TAT-VEH-1104,CNG,Automatic,Hatchback,Third,1187.4,,1524.0,26.17,77707.0,8.88,18.75
TAT-VEH-1105,Petrol,Automatic,Hatchback,Second,1277.4,70.6,1427.7,19.35,43926.0,7.99,14.81
TAT-VEH-1106,Petrol,Automatic,SUV,Second,,116.9,1495.6,15.73,136394.0,5.41,14.99
TAT-VEH-1107,Diesel,Automatic,Sedan,First,1465.6,108.5,1500.5,15.34,20666.0,8.5,19.04
TAT-VEH-1108,Petrol,Manual,SUV,First,2033.8,159.3,1908.0,14.46,7150.0,9.86,26.15
TAT-VEH-1109,Petrol,Automatic,SUV,Third,2210.4,157.9,1782.8,15.63,33781.0,8.94,23.07
TAT-VEH-1110,Petrol,Manual,Hatchback,First,1300.9,97.0,1440.3,9.99,6037.0,9.54,16.94
TAT-VEH-1111,Petrol,Automatic,SUV,Second,2143.6,169.3,1852.0,19.67,159090.0,5.74,20.86
TAT-VEH-1112,Electric,Manual,Sedan,Second,0.0,217.8,1270.7,22.36,1612506.0245199073,10.0,32.84
TAT-VEH-1113,CNG,Automatic,Sedan,First,1338.0,110.0,1478.4,25.26,65018.0,7.03,17.21
TAT-VEH-1114,Diesel,Manual,Sedan,Third,1116.4,73.6,1306.8,,35510.0,8.43,13.14
TAT-VEH-1115,CNG,Automatic,Luxury,First,2835.8,207.6,2233.9,23.24,22693.0,9.64,33.7
TAT-VEH-1116,CNG,Manual,Hatchback,First,1347.2,95.6,1405.7,25.65,5065.0,9.37,13.45
TAT-VEH-1117,Petrol,Automatic,Sedan,First,1776.7,111.7,1765.7,-9.823529777123051,45799.0,,22.66
TAT-VEH-1118,CNG,Manual,SUV,First,2175.6,159.2,2002.8,24.13,41600.0,9.22,25.95
TAT-VEH-1119,Diesel,Manual,SUV,First,2105.3,166.7,1845.5,16.84,16838.0,,27.94
TAT-VEH-1120,CNG,Manual,SUV,First,2092.9,141.7,1915.9,27.83,110469.0,,19.98
TAT-VEH-1121,CNG,Manual,Hatchback,Second,1113.6,96.1,1360.0,23.75,18315.0,,19.06
TAT-VEH-1122,Petrol,Automatic,Hatchback,Third,1177.5,94.2,1404.1,17.6,28880.0,8.63,17.38
TAT-VEH-1123,Petrol,Manual,Sedan,First,1831.8,128.6,1709.5,9.87,37313.0,9.2,21.25
TAT-VEH-1124,Petrol,Automatic,SUV,First,1762.4,130.5,1660.1,19.04,6753.0,9.27,23.1
TAT-VEH-1125,Petrol,Manual,Hatchback,Third,1439.2,127.1,1620.7,18.66,123078.0,7.13,20.95
TAT-VEH-1126,CNG,Manual,Hatchback,First,1148.7,95.0,1395.8,24.69,23117.0,9.06,17.34
TAT-VEH-1127,CNG,Automatic,Luxury,First,3523.2,264.3,2620.0,,5790.0,10.0,44.31
TAT-VEH-1128,Petrol,Automatic,Hatchback,First,986.0,71.1,1207.6,16.7,24044.0,9.56,12.2
TAT-VEH-1129,Diesel,Manual,Luxury,First,3227.4,243.0,2442.4,25.41,43256.0,8.19,36.8
TAT-VEH-1130,Petrol,Manual,SUV,First,1813.8,129.9,1627.5,10.21,34437.0,7.58,22.11
TAT-VEH-1131,Petrol,Automatic,SUV,Third,1644.2,98.1,1571.3,17.85,55367.0,8.43,17.9
TAT-VEH-1132,Petrol,Manual,Hatchback,First,1229.8,116.7,1412.3,12.77,4569.0,9.71,22.53
TAT-VEH-1133,Petrol,Automatic,Hatchback,First,1348.4,103.0,1466.2,15.44,17067.0,9.65,15.64
TAT-VEH-1134,Electric,Automatic,SUV,First,0.0,150.0,1193.5,21.38,78974.0,7.41,19.12
TAT-VEH-1135,Petrol,Automatic,SUV,First,1786.8,133.3,1768.6,14.22,5747.0,9.38,23.74
TAT-VEH-1136,Diesel,Manual,SUV,Second,1623.2,112.9,1598.8,,89047.0,8.46,17.97
TAT-VEH-1137,Diesel,Automatic,Hatchback,Second,1183.2,86.5,1376.0,15.82,6338.0,8.74,16.79
TAT-VEH-1138,Petrol,Manual,SUV,Second,1976.1,129.0,1858.1,18.59,82933.0,7.87,21.27
TAT-VEH-1139,Electric,Manual,SUV,First,0.0,196.9,1268.3,17.51,22138.0,8.82,29.7
TAT-VEH-1140,Electric,Manual,SUV,Third,0.0,109.1,1006.4,23.35,44628.0,8.32,14.98
TAT-VEH-1141,Petrol,Manual,SUV,Second,2135.1,147.7,1795.2,14.52,9466.0,9.34,27.72
TAT-VEH-1142,Diesel,Automatic,SUV,Second,2235.4,162.4,1958.1,15.72,5081.0,9.17,29.73
TAT-VEH-1143,Petrol,Automatic,Sedan,First,1486.1,126.9,1628.9,,12947.0,9.77,22.37
TAT-VEH-1144,Petrol,Automatic,Hatchback,First,1475.3,110.8,1511.8,10.83,8156.0,10.0,22.93
TAT-VEH-1145,Petrol,Manual,Sedan,First,1542.8,100.9,1556.8,15.62,18855.0,9.54,21.47
TAT-VEH-1146,Diesel,Manual,Hatchback,Second,,100.9,1384.8,15.02,34505.0,8.88,19.05
TAT-VEH-1147,Diesel,Manual,Sedan,First,1175.7,96.9,1394.5,20.29,41986.0,8.01,12.39
TAT-VEH-1148,Petrol,Automatic,Sedan,First,1445.5,114.9,1418.8,12.73,72201.0,,20.36
TAT-VEH-1149,Petrol,Manual,Hatchback,Second,1146.5,94.6,1376.7,14.15,50052.0,,17.43
TAT-VEH-1150,CNG,Automatic,Hatchback,Second,1341.0,129.3,1591.1,25.09,44229.0,,24.71
TAT-VEH-1151,Petrol,Manual,Hatchback,Third,1266.4,121.2,1464.7,13.18,25880.0,8.83,22.69
TAT-VEH-1152,Petrol,Manual,SUV,First,1703.2,,1647.5,15.33,30894.0,,23.71
TAT-VEH-1153,Diesel,Automatic,Luxury,Second,3061.9,249.1,2406.6,14.76,26090.0,8.76,42.2
TAT-VEH-1154,Electric,Manual,Hatchback,First,0.0,149.6,1142.0,23.58,85080.0,5.72,22.28
TAT-VEH-1155,Petrol,Automatic,Luxury,First,3261.6,250.6,2507.2,20.79,13761.0,9.65,45.05
TAT-VEH-1156,Diesel,Automatic,Sedan,First,1803.6,115.0,1621.8,26.82,2258.0,9.23,22.14
TAT-VEH-1157,Diesel,Manual,Hatchback,First,1330.1,97.7,1526.4,19.26,49412.0,7.42,15.02
TAT-VEH-1158,Petrol,Manual,Hatchback,First,1311.1,88.6,1476.8,17.86,12180.0,9.9,17.07
TAT-VEH-1159,Diesel,Manual,Sedan,Second,1510.0,123.2,1556.3,14.01,101374.0,6.25,19.1
TAT-VEH-1160,Petrol,Automatic,SUV,First,2095.1,170.0,1933.2,20.01,90170.0,7.02,26.57
TAT-VEH-1161,Diesel,Manual,SUV,Second,2310.4,148.4,1956.5,21.17,5592.0,10.0,25.5
TAT-VEH-1162,Diesel,Automatic,Hatchback,First,997.1,74.5,1317.4,17.64,7062.0,,12.8
TAT-VEH-1163,Diesel,Automatic,Hatchback,First,1144.6,99.3,1314.1,22.46,32759.0,7.94,16.06
TAT-VEH-1164,Petrol,Automatic,Sedan,First,1343.5,98.5,1516.8,14.74,44283.0,8.7,18.84
TAT-VEH-1165,CNG,Manual,Hatchback,First,1253.9,102.8,1417.4,23.58,16466.0,10.0,21.13
TAT-VEH-1166,,Automatic,Hatchback,First,1381.5,107.8,1485.1,16.93,58772.0,7.18,19.39
TAT-VEH-1167,Petrol,Automatic,Hatchback,First,1107.5,87.2,1487.5,12.31,42665.0,,17.78
TAT-VEH-1168,Petrol,Manual,SUV,First,1400.4,101.8,1509.7,18.56,19675.0,9.59,18.86
TAT-VEH-1169,Diesel,Manual,Luxury,First,,197.5,2214.3,16.04,3156.0,8.47,32.03
TAT-VEH-1170,Diesel,Automatic,Sedan,First,1680.7,112.6,1509.5,16.06,64410.0,8.44,17.8
TAT-VEH-1171,Petrol,Manual,Luxury,Third,3208.1,249.1,2565.1,12.77,12879.0,,41.81
TAT-VEH-1172,Diesel,Automatic,Hatchback,First,1261.2,,1361.2,21.13,82938.0,7.24,14.12
TAT-VEH-1173,Petrol,Manual,Sedan,Second,1442.0,106.5,1470.8,13.65,26535.0,9.79,19.15
TAT-VEH-1174,Diesel,Manual,Hatchback,Second,1005.1,70.3,1261.0,15.23,40725.0,9.32,13.77
TAT-VEH-1175,Petrol,Automatic,Sedan,Third,1601.1,,1672.2,13.68,94842.0,7.15,19.81
TAT-VEH-1176,Diesel,Manual,Luxury,Second,,212.0,2249.4,18.91,91655.0,,32.6
TAT-VEH-1177,Petrol,Manual,Sedan,First,1934.8,141.1,1772.0,11.96,22900.0,8.56,22.02
TAT-VEH-1178,Electric,Manual,Sedan,Second,0.0,,1031.7,19.12,12544.0,9.42,16.71
TAT-VEH-1179,Petrol,Manual,Sedan,Second,1612.1,129.8,1608.7,21.83,69154.0,8.17,20.92
TAT-VEH-1180,Petrol,Manual,Hatchback,First,1109.9,80.8,1347.4,12.92,27539.0,8.82,17.17
TAT-VEH-1181,Petrol,Manual,SUV,First,1845.2,138.8,1746.5,14.53,11596.0,8.15,24.07
TAT-VEH-1182,Electric,Automatic,Sedan,First,0.0,180.2,1248.9,21.08,107653.0,7.49,24.33
TAT-VEH-1183,CNG,Manual,Sedan,Second,,110.7,1592.9,23.66,11935.0,9.57,21.21
TAT-VEH-1184,Petrol,Automatic,Sedan,Second,1450.1,112.2,1562.7,17.36,3177.0,,21.22
TAT-VEH-1185,Diesel,Manual,Sedan,First,1721.4,115.0,1621.9,21.65,2922.0,10.0,23.19
TAT-VEH-1186,CNG,Automatic,Hatchback,First,1225.0,89.2,1438.8,23.89,45816.0,9.41,15.07
TAT-VEH-1187,Diesel,Manual,SUV,First,1815.1,143.4,1739.2,15.54,50769.0,6.67,23.01
TAT-VEH-1188,Diesel,Automatic,Hatchback,First,1480.6,92.4,1445.1,22.57,18766.0,9.52,17.55
TAT-VEH-1189,Petrol,Manual,SUV,Third,,153.2,1816.4,15.21,1614003.4997351603,8.39,25.73
TAT-VEH-1190,Petrol,Manual,SUV,First,2190.2,165.5,1934.5,20.69,20664.0,9.51,29.47
TAT-VEH-1191,CNG,Manual,SUV,First,1845.9,138.9,1788.8,20.01,53297.0,8.35,22.41
TAT-VEH-1192,CNG,Manual,Sedan,First,,130.2,1616.0,24.89,4695.0,10.0,23.86
TAT-VEH-1193,Diesel,Manual,Sedan,Second,1560.2,121.0,1538.1,24.37,121102.0,6.04,17.22
TAT-VEH-1194,Petrol,Manual,Hatchback,First,913.6,86.3,1288.3,14.44,13326.0,8.3,16.59
TAT-VEH-1195,Petrol,Automatic,SUV,Second,2501.8,175.7,2070.6,14.82,300000.0,1.0,18.75
TAT-VEH-1196,Diesel,Manual,Hatchback,First,1390.6,105.9,1510.8,19.83,10467.0,9.75,19.33
TAT-VEH-1197,CNG,Manual,Sedan,First,1418.6,107.4,1561.0,23.38,68439.0,8.45,18.1
TAT-VEH-1198,CNG,Automatic,Hatchback,First,1031.7,64.5,1323.3,23.88,13378.0,8.71,14.12
TAT-VEH-1199,,Automatic,Hatchback,First,1249.1,105.2,1420.5,18.05,5794.0,10.0,19.49
TAT-VEH-1200,Diesel,Manual,Sedan,First,1515.3,141.5,1603.3,17.24,95551.0,6.68,23.73
TAT-VEH-1201,Petrol,Manual,Hatchback,Third,1250.4,93.6,1369.6,19.19,90075.0,7.44,12.99
TAT-VEH-1202,Petrol,Manual,SUV,Second,2045.9,159.5,1899.8,16.88,25256.0,8.77,27.53
TAT-VEH-1203,CNG,Automatic,Hatchback,Third,,96.5,1509.2,25.0,56540.0,,14.5
TAT-VEH-1204,Diesel,Automatic,Hatchback,First,,97.5,1472.9,21.26,38645.0,9.23,18.08
TAT-VEH-1205,,Manual,Sedan,Third,1611.6,99.0,1549.5,14.71,88266.0,6.54,14.42
TAT-VEH-1206,Petrol,Automatic,Hatchback,First,1039.6,69.5,1360.9,13.18,19029.0,8.85,13.97
TAT-VEH-1207,Diesel,Automatic,Hatchback,First,1401.4,88.4,1486.8,17.31,35374.0,8.9,16.07
TAT-VEH-1208,Petrol,Manual,SUV,First,2408.2,201.1,2117.4,15.51,31894.0,10.0,33.86
TAT-VEH-1209,Petrol,Automatic,Hatchback,First,1669.8,123.9,1584.6,12.32,21656.0,,21.1
TAT-VEH-1210,Diesel,Manual,SUV,Second,1717.1,124.6,1696.4,17.6,101927.0,8.11,18.46
TAT-VEH-1211,Diesel,Manual,Hatchback,First,1233.4,103.2,1393.2,17.55,10162.0,10.0,21.1
TAT-VEH-1212,Diesel,Manual,Hatchback,First,884.7,,1135.2,24.95,9287.0,9.48,12.08
TAT-VEH-1213,Petrol,Manual,SUV,First,2136.3,151.0,1857.9,7.18,40708.0,8.46,24.94
TAT-VEH-1214,Diesel,Manual,Hatchback,First,1114.8,84.4,1321.9,18.5,50216.0,7.95,14.35
TAT-VEH-1215,Petrol,Automatic,Hatchback,First,1485.5,123.8,1568.3,20.68,11740.0,9.42,24.7
TAT-VEH-1216,Petrol,Manual,Sedan,First,1343.1,106.8,1415.0,15.87,24296.0,8.26,18.57
TAT-VEH-1217,Diesel,Manual,Hatchback,Second,943.6,73.7,1312.5,21.11,133817.0,5.93,9.02
TAT-VEH-1218,Diesel,Manual,SUV,Second,1880.2,142.0,1819.5,19.28,14743.0,10.0,24.52
TAT-VEH-1219,CNG,Automatic,Hatchback,First,900.7,72.4,1148.9,23.17,51667.0,7.96,11.54
TAT-VEH-1220,Diesel,Manual,SUV,First,2185.8,166.4,1980.0,12.72,62644.0,7.87,26.47
TAT-VEH-1221,Diesel,Manual,SUV,First,1481.7,98.8,1475.1,19.58,28750.0,7.96,16.16
TAT-VEH-1222,Petrol,Manual,Sedan,Second,1503.7,113.3,1602.4,13.17,126785.0,6.4,14.85
TAT-VEH-1223,Petrol,Manual,Luxury,First,2161.9,149.3,1876.5,13.1,62043.0,,23.57
TAT-VEH-1224,Petrol,Automatic,Sedan,First,1433.9,108.5,1524.6,14.0,29556.0,8.99,20.35
TAT-VEH-1225,Petrol,Automatic,Luxury,First,3650.4,268.0,2688.4,,39909.0,8.53,43.43
TAT-VEH-1226,Electric,Manual,Hatchback,First,0.0,203.5,1319.4,28.01,55084.0,8.05,28.5
TAT-VEH-1227,Petrol,Automatic,SUV,First,2088.2,156.1,1809.1,16.15,42363.0,8.89,27.99
TAT-VEH-1228,CNG,Automatic,Sedan,Second,1325.3,,1450.5,23.57,96926.0,7.01,15.22
TAT-VEH-1229,Diesel,Automatic,Sedan,First,1491.8,,1602.9,15.7,21865.0,9.36,19.95
TAT-VEH-1230,Diesel,Manual,Sedan,First,1501.6,118.9,1608.6,20.31,18043.0,9.41,20.64
TAT-VEH-1231,Diesel,Manual,SUV,Second,2116.2,178.8,2053.9,23.99,12827.0,10.0,29.92
TAT-VEH-1232,Diesel,Manual,Hatchback,Second,992.0,67.3,1239.0,18.31,3733.0,10.0,15.16
TAT-VEH-1233,Diesel,Automatic,Hatchback,First,1285.9,77.5,1441.7,12.34,3978.0,9.8,16.04
TAT-VEH-1234,Petrol,Manual,SUV,First,1321.9,108.9,1479.6,17.51,93829.0,8.03,16.13
TAT-VEH-1235,Diesel,Manual,SUV,First,1840.5,121.5,1759.6,21.76,53049.0,8.54,20.04
TAT-VEH-1236,Petrol,Manual,Luxury,Third,2797.7,204.6,2240.3,10.74,50617.0,9.14,32.57
TAT-VEH-1237,Petrol,Automatic,SUV,First,2156.3,158.6,1881.8,16.03,44911.0,8.88,27.12
TAT-VEH-1238,Diesel,Manual,Luxury,Third,,224.3,2426.8,20.26,87137.0,6.21,33.59
