device_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_mode,failure
ECU_SENS_01027,297.7,307.74,1633.0,31.66,118.3,No_Failure,0
ECU_SENS_01028,300.75,310.6,1518.8,47.64,19.7,No_Failure,0
ECU_SENS_01029,298.8,309.76,1732.4,24.57,47.0,No_Failure,0
ECU_SENS_01030,299.42,311.63,1469.9,33.67,226.5,No_Failure,0
ECU_SENS_01031,298.8,308.24,1631.6,45.96,234.4,No_Failure,0
ECU_SENS_01032,303.7,312.33,1346.5,33.66,90.3,No_Failure,0
ECU_SENS_01033,299.97,309.88,1525.8,37.64,221.6,No_Failure,0
ECU_SENS_01034,297.88,310.46,1498.6,47.44,130.8,No_Failure,0
ECU_SENS_01035,301.65,310.84,1570.6,44.22,64.7,No_Failure,0
ECU_SENS_01036,297.56,309.2,1463.5,42.67,168.6,No_Failure,0
ECU_SENS_01037,300.42,312.1,1506.3,36.61,158.1,No_Failure,0
ECU_SENS_01038,296.08,305.53,1678.7,43.7,237.4,Tool_Wear_Failure,1
ECU_SENS_01039,297.34,307.91,1451.4,38.76,63.6,No_Failure,0
ECU_SENS_01040,300.39,312.02,1240.8,44.58,161.3,No_Failure,0
ECU_SENS_01041,301.48,311.1,1844.9,35.03,12.5,No_Failure,0
ECU_SENS_01042,300.34,310.14,1778.7,38.17,27.3,No_Failure,0
ECU_SENS_01043,299.77,309.19,1297.4,30.1,0.9,No_Failure,0
ECU_SENS_01044,299.4,308.38,1654.1,39.65,239.9,No_Failure,0
ECU_SENS_01045,297.04,306.39,1439.5,31.89,192.5,No_Failure,0
ECU_SENS_01046,298.56,307.34,1577.4,28.86,188.8,No_Failure,0
ECU_SENS_01047,299.08,309.11,1583.0,42.59,122.3,No_Failure,0
ECU_SENS_01048,302.11,311.34,1487.8,42.13,72.0,No_Failure,0
ECU_SENS_01049,300.69,310.92,1388.9,47.83,36.3,No_Failure,0
ECU_SENS_01050,296.47,304.92,1405.7,35.69,68.3,No_Failure,0
ECU_SENS_01051,300.65,310.98,1365.1,44.08,90.2,No_Failure,0
ECU_SENS_01052,299.23,310.06,1380.3,45.51,181.5,No_Failure,0
ECU_SENS_01053,298.65,306.65,1517.9,44.45,129.5,No_Failure,0
ECU_SENS_01054,301.22,311.6,1401.2,31.74,18.6,No_Failure,0
ECU_SENS_01055,302.06,313.29,1652.8,41.49,4.3,No_Failure,0
ECU_SENS_01056,301.86,310.65,1797.7,43.64,24.6,No_Failure,0
ECU_SENS_01057,298.32,309.99,1425.6,40.07,98.5,No_Failure,0
ECU_SENS_01058,299.38,309.8,1573.1,19.14,224.0,Power_Failure,1
ECU_SENS_01059,300.66,309.96,1619.9,41.6,153.0,No_Failure,0
ECU_SENS_01060,301.95,311.9,1615.0,62.13,192.4,Power_Failure,1
ECU_SENS_01061,299.04,309.6,1543.7,36.4,111.9,No_Failure,0
ECU_SENS_01062,299.63,309.7,1663.7,32.72,86.8,No_Failure,0
ECU_SENS_01063,297.79,308.33,1616.8,43.73,26.0,No_Failure,0
ECU_SENS_01064,297.61,306.69,1307.2,43.12,210.2,Tool_Wear_Failure,1
ECU_SENS_01065,301.63,311.79,1686.4,51.93,188.0,Power_Failure,1
ECU_SENS_01066,302.71,311.3,1689.7,27.42,40.3,No_Failure,0
ECU_SENS_01067,299.86,309.74,1392.6,47.31,122.9,No_Failure,0
ECU_SENS_01068,302.01,311.1,1536.8,45.9,117.0,No_Failure,0
ECU_SENS_01069,300.72,309.99,1653.0,38.58,150.0,No_Failure,0
ECU_SENS_01070,298.71,309.95,1492.3,43.39,227.1,Tool_Wear_Failure,1
ECU_SENS_01071,300.72,311.81,1723.1,50.29,139.1,Power_Failure,1
ECU_SENS_01072,303.08,313.69,1955.5,48.72,129.7,Power_Failure,1
ECU_SENS_01073,299.93,308.84,1388.5,28.57,12.1,No_Failure,0
ECU_SENS_01074,303.13,312.81,1281.4,48.2,15.1,No_Failure,0
ECU_SENS_01075,294.76,305.97,1584.7,39.35,45.0,No_Failure,0
ECU_SENS_01076,301.64,311.79,1659.9,40.73,7.8,No_Failure,0
ECU_SENS_01077,300.17,312.49,1488.4,40.73,178.4,No_Failure,0
ECU_SENS_01078,299.4,309.8,1791.6,38.5,173.6,No_Failure,0
ECU_SENS_01079,300.18,310.38,1289.1,51.92,32.7,No_Failure,0
ECU_SENS_01080,296.02,305.72,1654.7,39.16,200.7,No_Failure,0
ECU_SENS_01081,299.56,309.69,1420.9,28.8,37.1,No_Failure,0
ECU_SENS_01082,300.71,310.56,1839.5,36.06,72.3,No_Failure,0
ECU_SENS_01083,302.96,313.66,1888.7,41.79,59.8,No_Failure,0
ECU_SENS_01084,298.96,309.92,1392.0,52.29,89.4,No_Failure,0
ECU_SENS_01085,298.38,307.6,1431.1,46.03,61.1,No_Failure,0
ECU_SENS_01086,299.0,307.67,1684.7,31.49,117.3,No_Failure,0
ECU_SENS_01087,301.83,309.99,1460.3,64.85,97.8,Power_Failure,1
ECU_SENS_01088,300.66,311.17,1521.8,42.65,236.8,Tool_Wear_Failure,1
ECU_SENS_01089,298.94,307.84,1534.6,52.75,13.4,No_Failure,0
ECU_SENS_01090,301.03,308.87,1184.5,38.48,34.1,Heat_Dissipation_Failure,1
ECU_SENS_01091,300.19,310.58,1527.5,45.33,12.7,No_Failure,0
ECU_SENS_01092,301.94,314.43,1405.8,48.39,150.2,No_Failure,0
ECU_SENS_01093,298.6,308.59,1441.2,52.18,13.1,No_Failure,0
ECU_SENS_01094,299.34,310.18,1789.9,50.57,200.7,Power_Failure,1
ECU_SENS_01095,299.22,309.3,1303.8,48.72,122.9,No_Failure,0
ECU_SENS_01096,297.07,306.97,1676.4,36.85,126.5,No_Failure,0
ECU_SENS_01097,300.59,311.51,1479.8,34.28,134.8,No_Failure,0
ECU_SENS_01098,300.52,310.23,1479.6,43.33,41.0,No_Failure,0
ECU_SENS_01099,300.01,310.28,1672.3,49.33,47.4,No_Failure,0
ECU_SENS_01100,299.53,309.85,1591.2,37.77,76.5,No_Failure,0
ECU_SENS_01101,297.17,306.5,1632.7,50.65,142.4,No_Failure,0
ECU_SENS_01102,299.16,310.15,1704.3,54.53,50.4,Power_Failure,1
ECU_SENS_01103,299.31,309.14,1470.4,30.84,27.9,No_Failure,0
ECU_SENS_01104,298.4,307.64,1419.8,31.63,232.8,Tool_Wear_Failure,1
ECU_SENS_01105,299.68,310.21,1334.7,38.6,5.3,No_Failure,0
ECU_SENS_01106,300.81,309.91,1381.4,43.08,192.6,No_Failure,0
ECU_SENS_01107,303.77,313.8,2060.8,34.75,189.1,No_Failure,0
ECU_SENS_01108,300.35,310.34,1754.0,53.52,71.3,Power_Failure,1
ECU_SENS_01109,300.52,311.6,1286.8,44.24,32.6,No_Failure,0
ECU_SENS_01110,299.85,310.33,1292.0,40.39,35.0,No_Failure,0
ECU_SENS_01111,296.16,306.14,1616.7,25.64,167.4,No_Failure,0
ECU_SENS_01112,299.95,310.76,1628.5,26.84,154.3,No_Failure,0
ECU_SENS_01113,300.12,311.51,1628.8,42.81,187.9,No_Failure,0
ECU_SENS_01114,304.93,315.48,1484.1,18.67,225.0,Power_Failure,1
ECU_SENS_01115,299.62,309.63,1507.4,50.13,166.1,No_Failure,0
ECU_SENS_01116,300.6,309.29,1589.0,38.42,37.4,No_Failure,0
ECU_SENS_01117,299.93,308.87,1545.5,72.43,58.4,Power_Failure,1
ECU_SENS_01118,297.66,307.36,1150.0,63.08,202.1,Overstrain_Failure,1
ECU_SENS_01119,302.29,311.68,1488.6,38.19,50.2,No_Failure,0
ECU_SENS_01120,301.5,311.32,1376.7,38.94,17.4,No_Failure,0
ECU_SENS_01121,301.58,311.64,1561.5,49.96,168.8,No_Failure,0
ECU_SENS_01122,298.18,308.71,2067.3,57.03,96.6,Power_Failure,1
ECU_SENS_01123,302.81,312.74,1596.1,23.62,220.8,Tool_Wear_Failure,1
ECU_SENS_01124,297.2,307.68,1473.6,22.14,156.1,Power_Failure,1
ECU_SENS_01125,301.17,311.24,1695.9,33.78,21.7,No_Failure,0
ECU_SENS_01126,304.38,312.41,1616.9,45.83,227.5,Tool_Wear_Failure,1
ECU_SENS_01127,298.02,307.08,1605.6,44.97,62.1,No_Failure,0
ECU_SENS_01128,298.87,308.72,1639.2,50.7,80.9,No_Failure,0
ECU_SENS_01129,300.2,308.99,1900.2,28.0,96.5,No_Failure,0
ECU_SENS_01130,298.99,309.59,1326.4,16.84,12.3,Power_Failure,1
ECU_SENS_01131,296.9,308.43,1615.3,48.58,119.2,No_Failure,0
ECU_SENS_01132,300.14,311.36,1363.3,31.72,29.6,No_Failure,0
ECU_SENS_01133,297.88,307.66,1630.0,19.82,96.2,Power_Failure,1
ECU_SENS_01134,300.95,312.44,1364.6,41.45,84.2,No_Failure,0
ECU_SENS_01135,298.16,308.31,1454.9,47.93,185.5,No_Failure,0
ECU_SENS_01136,303.1,312.76,1476.9,38.78,192.8,No_Failure,0
ECU_SENS_01137,298.43,307.82,1705.6,35.42,36.8,No_Failure,0
ECU_SENS_01138,299.36,309.05,1695.3,38.41,88.0,No_Failure,0
ECU_SENS_01139,301.63,311.24,1305.8,36.29,89.6,No_Failure,0
ECU_SENS_01140,297.54,307.71,1539.9,26.52,36.3,No_Failure,0
ECU_SENS_01141,300.45,310.62,1402.3,32.85,191.6,No_Failure,0
ECU_SENS_01142,302.61,312.62,1303.5,45.21,169.7,No_Failure,0
ECU_SENS_01143,296.79,307.22,1490.9,43.22,45.7,No_Failure,0
ECU_SENS_01144,300.37,311.56,1474.5,41.68,88.0,No_Failure,0
ECU_SENS_01145,300.52,311.47,1966.8,30.05,25.4,No_Failure,0
ECU_SENS_01146,301.56,310.08,1607.9,38.18,150.8,No_Failure,0
ECU_SENS_01147,297.53,304.97,1282.0,18.23,29.1,Heat_Dissipation_Failure,1
ECU_SENS_01148,297.36,308.29,1428.3,41.78,236.6,Tool_Wear_Failure,1
ECU_SENS_01149,301.04,309.68,1713.8,54.29,187.4,Power_Failure,1
ECU_SENS_01150,300.59,310.37,1905.9,25.26,93.7,No_Failure,0
ECU_SENS_01151,300.5,309.33,1244.5,34.14,138.9,No_Failure,0
ECU_SENS_01152,300.69,308.89,1191.6,43.29,218.7,Heat_Dissipation_Failure,1
ECU_SENS_01153,298.64,309.18,1866.8,52.53,133.0,Power_Failure,1
ECU_SENS_01154,300.46,311.22,1600.1,35.52,41.9,No_Failure,0
ECU_SENS_01155,300.59,310.01,1373.7,33.08,90.9,No_Failure,0
ECU_SENS_01156,298.57,305.98,1626.2,20.31,202.4,Power_Failure,1
ECU_SENS_01157,303.73,313.19,1150.0,41.03,154.6,No_Failure,0
ECU_SENS_01158,300.95,311.34,1530.6,60.42,156.2,Power_Failure,1
ECU_SENS_01159,297.62,306.14,1589.0,42.77,208.0,No_Failure,0
ECU_SENS_01160,301.31,311.5,1696.4,39.78,214.6,No_Failure,0
ECU_SENS_01161,298.05,308.04,1347.5,43.22,220.8,No_Failure,0
ECU_SENS_01162,301.57,312.15,1545.4,39.89,22.8,No_Failure,0
ECU_SENS_01163,302.32,312.44,1363.4,31.87,130.6,No_Failure,0
ECU_SENS_01164,298.36,307.39,1576.0,48.23,177.7,No_Failure,0
ECU_SENS_01165,301.93,313.12,1368.8,42.26,181.7,No_Failure,0
ECU_SENS_01166,300.83,310.67,1456.5,40.18,145.6,No_Failure,0
ECU_SENS_01167,301.64,311.62,1350.8,30.25,40.0,No_Failure,0
ECU_SENS_01168,303.79,312.86,1647.2,53.04,191.4,Power_Failure,1
ECU_SENS_01169,299.51,309.07,1684.5,46.65,172.8,No_Failure,0
ECU_SENS_01170,298.49,307.61,1487.8,34.47,20.7,No_Failure,0
ECU_SENS_01171,298.22,308.05,1536.9,50.02,111.3,No_Failure,0
ECU_SENS_01172,298.37,310.08,1269.3,35.02,41.8,No_Failure,0
ECU_SENS_01173,299.85,308.47,1476.1,32.18,81.0,No_Failure,0
ECU_SENS_01174,300.68,309.07,1521.0,32.4,4.3,No_Failure,0
ECU_SENS_01175,300.55,312.02,2001.7,22.29,96.1,No_Failure,0
ECU_SENS_01176,301.65,311.45,1329.8,44.72,132.0,No_Failure,0
ECU_SENS_01177,300.03,309.36,1793.6,21.69,148.7,No_Failure,0
ECU_SENS_01178,302.91,313.95,1709.4,27.72,159.2,No_Failure,0
ECU_SENS_01179,299.47,308.87,1580.5,19.24,200.7,Power_Failure,1
ECU_SENS_01180,305.44,317.27,1846.6,39.14,51.7,No_Failure,0
ECU_SENS_01181,301.25,311.93,1597.0,38.5,28.9,No_Failure,0
ECU_SENS_01182,298.29,307.8,1600.0,36.73,204.4,No_Failure,0
ECU_SENS_01183,297.86,310.02,1520.4,29.57,37.6,No_Failure,0
ECU_SENS_01184,300.96,310.36,1750.2,28.28,233.9,No_Failure,0
ECU_SENS_01185,299.55,310.3,1727.4,44.64,202.2,No_Failure,0
ECU_SENS_01186,301.43,311.73,1417.4,34.49,120.2,No_Failure,0
ECU_SENS_01187,300.95,312.25,1292.5,43.16,235.5,Tool_Wear_Failure,1
ECU_SENS_01188,299.85,311.42,1493.5,31.15,23.4,No_Failure,0
ECU_SENS_01189,298.31,308.34,1386.0,41.81,72.7,No_Failure,0
ECU_SENS_01190,296.97,306.22,1518.6,53.03,153.2,No_Failure,0
ECU_SENS_01191,299.11,309.57,1752.7,45.86,84.0,No_Failure,0
ECU_SENS_01192,301.71,311.04,1447.7,35.88,222.8,Tool_Wear_Failure,1
ECU_SENS_01193,300.43,312.44,1522.3,42.57,15.8,No_Failure,0
ECU_SENS_01194,297.51,307.65,1540.4,37.59,131.9,No_Failure,0
ECU_SENS_01195,300.35,309.98,1682.7,40.08,141.8,No_Failure,0
ECU_SENS_01196,300.77,310.96,1150.0,36.74,156.7,No_Failure,0
ECU_SENS_01197,298.23,306.89,1420.8,38.36,61.4,No_Failure,0
ECU_SENS_01198,300.31,309.34,1568.0,42.12,87.5,No_Failure,0
ECU_SENS_01199,300.12,311.32,1746.0,30.07,202.5,No_Failure,0
ECU_SENS_01200,297.71,307.06,1441.5,29.84,46.8,No_Failure,0
ECU_SENS_01201,300.72,309.67,1192.2,26.11,198.4,Power_Failure,1
ECU_SENS_01202,301.12,311.66,1641.5,24.0,135.0,No_Failure,0
ECU_SENS_01203,302.17,313.35,1415.6,27.83,182.9,No_Failure,0
ECU_SENS_01204,302.11,312.83,1315.9,41.59,171.3,No_Failure,0
ECU_SENS_01205,297.24,308.24,1417.6,31.07,49.8,No_Failure,0
ECU_SENS_01206,298.12,307.37,1496.8,45.14,136.5,No_Failure,0
ECU_SENS_01207,301.03,309.61,1421.1,40.35,208.3,No_Failure,0
ECU_SENS_01208,301.03,312.53,1150.0,20.31,103.7,Power_Failure,1
ECU_SENS_01209,301.03,310.71,1691.5,46.55,232.0,Tool_Wear_Failure,1
ECU_SENS_01210,307.71,317.45,1759.5,48.11,108.5,No_Failure,0
ECU_SENS_01211,301.14,312.47,1647.3,30.06,34.3,No_Failure,0
ECU_SENS_01212,302.27,312.83,1325.2,44.2,93.5,No_Failure,0
ECU_SENS_01213,301.91,312.36,1493.7,31.44,228.4,Tool_Wear_Failure,1
ECU_SENS_01214,301.3,313.47,1528.8,40.98,76.7,No_Failure,0
ECU_SENS_01215,299.37,308.73,1637.8,27.36,208.3,No_Failure,0
ECU_SENS_01216,301.52,312.45,1650.3,22.07,211.5,Tool_Wear_Failure,1
ECU_SENS_01217,298.45,308.51,1397.8,36.17,84.0,No_Failure,0
ECU_SENS_01218,299.53,309.79,1544.8,38.76,20.0,No_Failure,0
ECU_SENS_01219,299.03,310.56,1612.3,36.02,173.9,No_Failure,0
ECU_SENS_01220,300.16,310.67,1792.0,28.16,74.8,Mechanical_Glitch,1
ECU_SENS_01221,304.63,315.17,1656.8,36.0,187.9,No_Failure,0
ECU_SENS_01222,296.27,307.34,1672.0,42.69,106.2,No_Failure,0
ECU_SENS_01223,301.37,311.01,1545.1,39.55,116.5,No_Failure,0
ECU_SENS_01224,296.77,305.94,1783.9,41.83,186.7,No_Failure,0
ECU_SENS_01225,299.06,308.01,1603.8,33.3,91.8,No_Failure,0
ECU_SENS_01226,302.18,310.21,1375.0,51.72,106.4,Heat_Dissipation_Failure,1
ECU_SENS_01227,300.13,312.18,1782.6,28.24,90.3,No_Failure,0
ECU_SENS_01228,297.84,306.74,1655.6,44.88,88.2,No_Failure,0
ECU_SENS_01229,298.57,308.35,1450.3,51.82,126.2,No_Failure,0
ECU_SENS_01230,301.36,311.08,1443.7,44.81,194.1,No_Failure,0
ECU_SENS_01231,298.54,308.85,1583.4,37.97,86.8,No_Failure,0
ECU_SENS_01232,300.43,311.25,1613.4,34.72,125.8,No_Failure,0
ECU_SENS_01233,300.09,310.95,1565.5,50.36,161.0,No_Failure,0
ECU_SENS_01234,298.7,308.11,1586.0,25.77,64.7,No_Failure,0
ECU_SENS_01235,304.29,314.12,1836.0,30.3,66.6,No_Failure,0
ECU_SENS_01236,301.27,311.55,1722.9,36.02,224.0,No_Failure,0
ECU_SENS_01237,295.95,305.7,1564.3,52.38,173.6,No_Failure,0
ECU_SENS_01238,300.37,311.98,1699.4,43.8,138.5,No_Failure,0
ECU_SENS_01239,298.68,309.17,1344.1,30.32,155.5,No_Failure,0
ECU_SENS_01240,301.7,312.44,1601.6,36.9,7.0,No_Failure,0
ECU_SENS_01241,298.41,309.08,1855.7,33.86,148.3,No_Failure,0
ECU_SENS_01242,299.77,310.94,1490.8,32.9,122.3,No_Failure,0
ECU_SENS_01243,301.01,311.19,1377.4,49.79,131.0,No_Failure,0
ECU_SENS_01244,301.73,310.43,1412.6,26.28,86.3,No_Failure,0
ECU_SENS_01245,297.6,308.0,1333.9,56.09,19.6,No_Failure,0
ECU_SENS_01246,299.33,308.68,1388.7,48.28,46.4,No_Failure,0
ECU_SENS_01247,299.05,308.52,1463.3,50.91,228.2,Overstrain_Failure,1
ECU_SENS_01248,298.69,309.28,1277.0,35.37,98.1,No_Failure,0
ECU_SENS_01249,303.53,314.77,1532.8,38.5,112.0,No_Failure,0
ECU_SENS_01250,300.81,310.83,1692.4,25.67,12.7,No_Failure,0
ECU_SENS_01251,297.48,307.79,1366.6,34.75,9.0,No_Failure,0
ECU_SENS_01252,301.84,313.54,1803.5,44.94,172.1,No_Failure,0
ECU_SENS_01253,304.24,314.49,1621.9,52.96,129.1,No_Failure,0
ECU_SENS_01254,302.06,314.67,1715.5,28.93,122.1,No_Failure,0
ECU_SENS_01255,296.96,307.53,1411.6,36.34,58.3,No_Failure,0
ECU_SENS_01256,299.03,307.27,1683.8,38.49,178.7,No_Failure,0
ECU_SENS_01257,302.53,313.29,1333.5,26.04,40.4,No_Failure,0
ECU_SENS_01258,298.58,308.97,1690.2,45.91,45.6,No_Failure,0
ECU_SENS_01259,300.89,312.18,1560.9,32.76,110.6,No_Failure,0
ECU_SENS_01260,301.55,312.22,1629.6,38.05,68.7,No_Failure,0
ECU_SENS_01261,298.15,308.01,1318.4,35.48,59.4,No_Failure,0
ECU_SENS_01262,299.88,308.66,1368.9,32.11,154.9,No_Failure,0
ECU_SENS_01263,293.52,303.31,1637.5,39.93,156.2,No_Failure,0
ECU_SENS_01264,297.95,307.1,1359.3,37.84,197.9,No_Failure,0
ECU_SENS_01265,299.49,308.91,1613.4,36.28,100.3,No_Failure,0
ECU_SENS_01266,297.5,308.09,1283.9,32.72,17.5,No_Failure,0
ECU_SENS_01267,303.26,314.93,1682.7,43.2,65.7,No_Failure,0
ECU_SENS_01268,297.14,307.53,1308.1,56.54,235.2,Overstrain_Failure,1
ECU_SENS_01269,299.12,307.92,1629.4,41.4,143.1,No_Failure,0
ECU_SENS_01270,300.26,310.71,1642.6,49.96,170.3,No_Failure,0
ECU_SENS_01271,302.88,314.08,1404.6,26.1,1.8,No_Failure,0
ECU_SENS_01272,297.13,306.52,1634.8,41.58,124.4,No_Failure,0
ECU_SENS_01273,302.33,312.19,1576.9,29.03,9.0,No_Failure,0
ECU_SENS_01274,300.02,310.04,1433.0,25.23,136.6,No_Failure,0
ECU_SENS_01275,298.04,307.25,1348.5,32.61,221.0,No_Failure,0
ECU_SENS_01276,300.92,311.57,1176.7,51.92,232.4,Overstrain_Failure,1
ECU_SENS_01277,300.4,310.28,1592.9,49.5,129.7,No_Failure,0
ECU_SENS_01278,298.8,309.22,1248.3,42.43,110.0,No_Failure,0
ECU_SENS_01279,300.14,309.25,1547.2,24.67,226.8,Tool_Wear_Failure,1
ECU_SENS_01280,299.23,308.79,1482.6,38.04,161.7,No_Failure,0
ECU_SENS_01281,300.23,310.95,1652.2,43.02,15.6,No_Failure,0
ECU_SENS_01282,301.32,310.95,1475.6,41.76,111.8,No_Failure,0
ECU_SENS_01283,303.17,314.9,1470.7,21.56,57.7,Power_Failure,1
ECU_SENS_01284,297.52,307.12,1661.7,31.1,112.8,No_Failure,0
ECU_SENS_01285,304.27,314.49,1590.3,39.36,109.3,No_Failure,0
ECU_SENS_01286,296.1,307.03,1586.9,45.36,139.7,No_Failure,0
ECU_SENS_01287,299.7,308.28,1614.5,18.04,85.6,Power_Failure,1
ECU_SENS_01288,301.18,309.42,1253.6,38.38,39.4,Heat_Dissipation_Failure,1
ECU_SENS_01289,300.56,309.04,1666.2,41.43,120.9,No_Failure,0
ECU_SENS_01290,298.75,310.02,1640.2,48.5,199.2,No_Failure,0
ECU_SENS_01291,299.58,309.03,1347.0,46.93,159.4,No_Failure,0
ECU_SENS_01292,299.01,311.57,1486.1,45.83,81.2,No_Failure,0
ECU_SENS_01293,298.82,308.26,1522.9,32.0,224.5,No_Failure,0
ECU_SENS_01294,301.7,311.88,1505.8,20.92,218.9,Power_Failure,1
ECU_SENS_01295,300.71,312.26,1590.1,36.07,50.2,No_Failure,0
ECU_SENS_01296,298.61,310.62,1787.6,50.02,9.5,Power_Failure,1
ECU_SENS_01297,301.8,313.86,1724.7,53.93,177.9,Power_Failure,1
ECU_SENS_01298,300.61,311.82,1293.8,47.11,198.6,No_Failure,0
ECU_SENS_01299,301.63,312.65,1642.0,44.29,232.3,Tool_Wear_Failure,1
ECU_SENS_01300,301.26,311.85,1769.2,43.8,213.6,Tool_Wear_Failure,1
ECU_SENS_01301,298.34,309.12,1599.6,34.44,144.1,No_Failure,0
ECU_SENS_01302,298.88,308.33,1726.4,38.7,127.2,No_Failure,0
ECU_SENS_01303,301.49,310.68,1892.2,56.69,6.7,Power_Failure,1
ECU_SENS_01304,301.22,311.22,1714.3,30.57,59.2,No_Failure,0
ECU_SENS_01305,299.96,309.79,1574.9,56.15,110.3,Power_Failure,1
ECU_SENS_01306,300.23,309.78,1718.1,36.78,150.8,No_Failure,0
ECU_SENS_01307,302.56,313.25,1556.1,53.25,133.7,No_Failure,0
ECU_SENS_01308,298.82,309.77,1534.3,25.93,178.2,No_Failure,0
ECU_SENS_01309,301.09,311.18,1466.7,45.86,67.1,No_Failure,0
ECU_SENS_01310,299.6,311.07,1811.4,32.63,135.6,No_Failure,0
ECU_SENS_01311,299.56,308.42,1382.7,25.85,21.2,No_Failure,0
ECU_SENS_01312,302.2,312.0,1805.8,42.19,99.3,No_Failure,0
ECU_SENS_01313,301.65,310.93,1620.0,50.09,180.0,No_Failure,0
ECU_SENS_01314,301.63,309.76,1278.1,31.55,166.4,Heat_Dissipation_Failure,1
ECU_SENS_01315,302.61,312.53,1596.2,25.01,237.8,No_Failure,0
ECU_SENS_01316,300.04,309.92,1152.0,39.08,66.7,No_Failure,0
ECU_SENS_01317,301.36,312.88,1642.6,39.13,119.6,No_Failure,0
ECU_SENS_01318,299.38,310.01,1689.3,45.48,79.1,No_Failure,0
ECU_SENS_01319,300.65,309.62,1423.4,49.5,105.7,No_Failure,0
ECU_SENS_01320,299.74,311.59,1552.2,39.41,205.7,No_Failure,0
ECU_SENS_01321,300.19,311.42,1881.7,58.56,164.2,Power_Failure,1
ECU_SENS_01322,301.19,311.77,1439.0,42.24,211.8,No_Failure,0
ECU_SENS_01323,298.36,308.14,1339.4,36.54,48.8,No_Failure,0
ECU_SENS_01324,304.18,313.23,1796.7,23.88,209.6,No_Failure,0
ECU_SENS_01325,297.99,307.62,1883.3,37.37,14.3,No_Failure,0
ECU_SENS_01326,297.57,308.66,1530.7,36.64,213.3,No_Failure,0
ECU_SENS_01327,302.32,314.2,1712.1,49.6,79.0,No_Failure,0
ECU_SENS_01328,301.58,313.13,1771.5,44.62,75.5,No_Failure,0
ECU_SENS_01329,301.25,310.76,1396.4,28.21,122.9,No_Failure,0
ECU_SENS_01330,301.26,310.14,1442.6,41.72,225.8,Tool_Wear_Failure,1
ECU_SENS_01331,299.98,310.12,1751.6,46.72,11.5,No_Failure,0
ECU_SENS_01332,298.21,306.44,1833.3,55.28,84.5,Power_Failure,1
ECU_SENS_01333,300.15,310.47,1631.3,48.88,205.6,No_Failure,0
ECU_SENS_01334,298.65,308.5,1371.6,47.61,95.1,Mechanical_Glitch,1
ECU_SENS_01335,301.95,311.48,1887.7,40.6,47.8,No_Failure,0
ECU_SENS_01336,299.71,308.11,1434.4,43.88,102.0,No_Failure,0
ECU_SENS_01337,298.35,308.86,1469.7,52.5,92.5,No_Failure,0
ECU_SENS_01338,299.36,308.82,1591.6,26.67,219.7,Tool_Wear_Failure,1
ECU_SENS_01339,300.83,309.66,1809.7,36.51,182.9,No_Failure,0
ECU_SENS_01340,298.87,306.0,1683.7,32.27,121.2,No_Failure,0
ECU_SENS_01341,298.36,308.33,1604.7,43.79,237.2,No_Failure,0
