rpm,engine_temp_c,vibration_g,throttle_pct,oil_pressure_bar,fuel_flow_l_h
2018.6,100.5,0.266,80.4,3.86,27.14
1917.0,90.3,0.406,79.1,3.36,25.16
2024.4,90.6,0.352,59.5,3.21,22.56
2520.4,94.2,0.409,59.1,3.5,24.24
2315.1,89.4,0.438,43.2,4.28,20.25
2014.6,86.4,0.414,67.7,4.18,23.26
2379.6,86.8,0.566,52.2,3.9,22.5
2234.0,87.6,0.476,62.4,3.19,23.43
2539.0,87.8,0.474,45.0,3.72,22.04
1954.3,92.4,0.5,66.2,3.92,23.85
2085.3,88.3,0.359,72.7,3.87,25.47
2062.8,92.4,0.533,25.3,3.06,16.24
1687.8,87.5,0.444,73.3,3.44,23.71
2303.6,88.5,0.504,52.8,3.77,22.46
2291.4,76.0,0.364,74.1,4.01,25.3
2201.8,93.5,0.326,45.2,2.92,20.44
2117.9,90.1,0.515,41.5,3.74,20.14
1704.6,94.0,0.48,79.1,3.86,25.02
2052.8,70.6,0.378,32.6,4.14,17.07
2080.0,100.5,0.38,74.1,4.08,25.48
1919.2,87.2,0.54,48.9,4.03,19.59
2143.6,94.6,0.355,51.0,3.48,21.38
2341.4,81.8,0.581,36.6,3.04,19.12
2860.2,91.7,0.378,55.1,3.64,24.54
2261.1,81.7,0.501,37.8,4.2,19.06
2290.1,84.3,0.424,17.7,4.36,15.1
2173.9,99.5,0.498,34.0,4.08,18.47
1528.4,86.9,0.406,15.4,3.97,12.73
2190.7,89.3,0.437,83.5,3.95,27.58
2221.1,93.2,0.453,82.6,3.58,27.37
3062.1,91.0,0.37,42.7,3.75,23.05
2132.7,88.9,0.509,66.0,4.47,23.62
2305.5,90.2,0.409,39.2,3.42,19.75
2187.9,102.4,0.432,62.0,4.45,24.3
1791.0,87.7,0.37,71.4,3.67,23.92
2600.0,89.2,0.245,81.3,4.33,28.35
2463.2,94.3,0.435,43.0,3.24,20.94
2476.9,94.6,0.643,69.8,4.03,26.33
1881.7,95.1,0.513,33.6,3.51,17.19
2691.0,91.8,0.448,84.3,3.23,29.35
1709.4,81.1,0.429,16.8,3.89,13.64
2405.4,97.8,0.452,57.2,4.2,24.14
2966.7,81.1,0.494,61.2,3.46,25.99
1853.3,89.8,0.356,63.2,3.2,22.01
2001.8,83.5,0.539,23.4,3.76,15.65
2234.9,87.6,0.507,80.7,3.77,27.33
2023.8,90.0,0.507,27.7,4.02,16.59
1657.3,89.9,0.485,58.6,4.18,21.36
2224.0,90.5,0.452,30.6,3.78,18.48
1828.2,97.7,0.504,36.5,4.54,18.5
2365.8,90.7,0.497,53.3,3.89,22.76
1878.2,86.5,0.422,44.2,3.66,19.19
2742.5,93.8,0.404,26.2,3.16,19.86
1925.9,95.1,0.458,27.0,3.69,16.61
2087.3,80.6,0.574,44.3,3.67,19.35
2484.7,91.6,0.351,68.0,4.18,25.65
1769.2,92.2,0.333,77.9,3.98,24.97
2279.6,86.2,0.463,20.9,3.33,15.85
2657.5,96.3,0.454,42.5,3.87,22.03
1637.4,87.1,0.464,22.0,4.07,14.49
2264.6,88.8,0.47,16.2,4.41,14.74
2291.0,87.0,0.432,61.3,4.16,24.19
2473.6,88.1,0.569,57.2,4.1,24.05
1767.1,81.4,0.322,26.4,3.82,14.97
1737.8,79.4,0.384,31.4,3.96,16.01
2382.7,97.6,0.442,16.7,4.3,16.44
2303.9,82.9,0.319,73.4,3.27,26.14
2287.7,82.1,0.436,83.2,3.66,27.71
2321.3,75.1,0.583,24.5,3.49,16.12
1962.0,84.2,0.452,31.2,3.95,17.07
2281.3,80.1,0.468,75.8,4.29,25.84
2302.6,97.9,0.349,79.9,3.56,27.56
1950.0,94.1,0.401,44.4,2.84,19.38
2853.0,83.9,0.42,18.5,3.64,18.57
2365.8,101.5,0.425,17.8,4.17,17.12
1783.0,93.9,0.553,55.2,4.02,20.67
2429.8,86.1,0.495,42.5,3.97,20.29
1858.9,73.0,0.361,17.0,3.69,13.27
2475.5,101.7,0.47,55.8,3.29,24.19
2605.5,79.7,0.49,15.8,4.01,16.41
1912.8,78.1,0.541,70.1,3.47,23.84
2537.2,94.1,0.576,36.5,4.67,20.71
2344.5,102.6,0.369,17.8,4.03,17.07
2487.7,96.3,0.385,56.2,3.57,24.01
2863.9,91.4,0.349,42.8,3.56,22.22
2114.1,91.6,0.431,83.2,3.76,27.06
1936.2,93.1,0.487,53.1,3.7,21.48
1888.7,92.6,0.529,34.3,4.25,17.49
1914.5,89.7,0.444,64.7,3.87,23.13
2173.0,88.6,0.424,34.0,3.51,18.25
2319.4,87.6,0.462,78.3,4.56,26.49
2296.8,83.5,0.383,41.2,3.82,19.86
2489.5,86.3,0.617,53.5,4.11,23.08
2204.6,77.8,0.321,18.5,3.56,14.99
2708.7,87.4,0.465,44.8,3.95,22.21
2107.4,82.1,0.612,73.3,3.92,24.56
3152.1,81.4,0.451,71.4,3.04,28.88
2419.0,89.1,0.435,30.7,4.61,18.62
1900.0,96.4,0.421,30.8,4.32,17.61
1825.2,93.5,0.436,72.2,3.64,24.68
2368.9,78.6,0.56,80.1,3.36,26.93
2121.8,82.1,0.273,21.7,3.94,15.3
2449.9,93.6,0.573,46.5,3.83,21.16
2365.6,82.1,0.336,38.6,3.94,19.12
2174.5,86.7,0.429,75.9,3.88,25.35
1903.6,91.3,0.416,20.8,4.0,15.58
1669.8,82.2,0.497,29.8,4.38,15.44
2043.7,88.6,0.322,67.7,4.03,24.07
2499.7,80.0,0.487,18.6,3.38,15.67
2274.9,84.4,0.612,49.5,4.35,20.93
1764.0,89.9,0.341,45.9,4.46,19.33
2260.6,78.4,0.465,38.4,5.06,19.13
2334.9,90.6,0.397,42.6,3.35,20.57
1890.6,87.9,0.484,52.1,3.9,20.71
2253.8,91.3,0.452,26.3,2.97,17.98
2220.4,89.3,0.399,55.0,4.02,22.29
1800.0,96.2,0.489,71.4,3.58,24.04
2325.2,88.8,0.594,68.2,4.57,25.18
2396.3,85.4,0.435,25.8,3.49,18.43
2579.1,88.7,0.508,25.4,3.12,17.64
2568.8,91.3,0.347,33.8,3.61,20.19
1717.8,88.3,0.373,40.3,3.01,17.71
1871.8,88.2,0.488,43.6,4.1,19.13
2380.3,83.8,0.569,62.6,2.97,23.85
2379.8,84.0,0.478,19.0,3.81,16.22
2380.3,79.6,0.425,17.4,2.97,16.01
3548.5,98.5,0.45,42.4,3.67,26.64
2399.8,80.5,0.35,63.8,4.46,24.51
2597.4,83.8,0.498,28.5,3.94,18.48
2533.9,83.7,0.521,59.9,3.45,24.03
2428.0,93.4,0.414,33.2,3.79,19.24
2089.7,86.2,0.412,77.0,3.81,25.06
2465.6,95.5,0.471,77.7,3.99,27.54
1929.5,84.0,0.415,35.8,3.25,17.81
2117.1,89.7,0.445,31.1,4.04,17.23
2030.1,83.0,0.618,43.8,2.72,19.7
2228.7,100.9,0.43,31.8,3.55,18.91
3010.1,80.9,0.421,62.1,3.6,25.99
1546.5,89.9,0.398,72.8,4.05,22.98
2440.2,91.8,0.51,62.1,3.81,25.14
1635.5,90.5,0.436,72.7,3.24,23.63
2034.8,86.9,0.398,42.8,3.41,19.35
2581.1,87.2,0.556,25.9,3.88,18.32
2222.5,88.3,0.564,66.7,3.77,24.44
1822.8,87.1,0.402,40.2,3.57,17.91
1949.6,93.8,0.301,62.0,3.61,22.05
2437.9,101.3,0.531,33.9,4.08,20.65
1944.4,84.7,0.395,20.7,3.59,14.98
2275.8,79.8,0.513,84.5,3.76,27.58
2216.0,87.5,0.292,25.9,4.67,17.0
1971.9,103.5,0.521,84.2,3.23,27.05
2950.4,83.2,0.353,83.4,3.06,29.9
2421.9,97.8,0.508,70.6,4.11,25.75
1491.2,98.1,0.451,61.2,3.53,21.89
2265.3,84.7,0.374,55.4,3.67,21.97
1968.4,91.4,0.417,75.6,3.49,24.85
2498.4,97.8,0.505,35.3,3.7,20.09
1922.6,85.7,0.458,47.7,4.44,20.21
2159.8,86.8,0.497,58.4,4.12,22.62
2376.7,84.5,0.608,43.8,4.14,20.28
2503.0,81.9,0.325,44.9,3.23,21.72
1779.9,84.1,0.579,38.1,3.34,17.67
2082.9,80.7,0.458,54.5,2.66,21.54
2033.8,88.2,0.378,74.5,3.48,25.37
1971.3,83.4,0.344,29.1,4.18,17.32
2817.9,89.4,0.435,80.4,4.01,29.97
2341.7,78.7,0.524,63.2,3.71,23.58
1758.7,90.0,0.44,72.6,3.79,24.37
2521.3,93.0,0.571,53.9,3.52,23.61
2942.8,76.0,0.334,69.6,3.88,27.3
2561.4,90.2,0.449,16.1,4.11,16.11
1668.2,95.4,0.35,72.3,3.15,23.58
2030.5,80.7,0.479,17.8,3.92,14.27
2643.4,98.0,0.521,77.3,4.17,28.66
1952.3,90.5,0.416,84.4,3.63,27.07
2355.3,83.8,0.242,35.6,4.08,18.4
2471.1,87.7,0.466,29.7,4.93,18.68
1875.6,91.3,0.485,68.6,3.76,23.97
2179.2,88.5,0.482,32.7,3.96,18.08
1200.0,91.2,0.549,75.6,3.5,22.53
1841.5,82.5,0.364,22.2,3.87,14.83
2111.6,89.0,0.504,23.8,3.98,16.44
1763.3,79.5,0.545,83.5,3.88,25.22
2771.3,87.3,0.308,62.2,3.39,25.23
1699.5,82.6,0.476,74.3,3.88,23.15
2046.0,83.6,0.41,37.7,4.38,18.57
2245.8,95.4,0.443,62.4,3.98,24.06
2704.4,94.5,0.478,56.6,4.18,24.67
1697.4,91.7,0.411,57.2,3.71,20.73
2607.1,81.4,0.396,62.8,4.1,24.77
2203.6,86.1,0.453,55.3,3.91,22.56
1856.5,95.3,0.363,45.0,3.42,19.33
2361.7,88.9,0.363,34.3,3.93,18.68
2269.7,101.9,0.504,68.8,3.4,25.86
1989.9,90.4,0.358,30.8,3.55,17.11
2224.4,89.2,0.503,63.5,3.88,23.9
2065.1,86.1,0.487,31.3,3.92,17.93
2239.7,88.8,0.312,58.8,3.32,23.08
2431.7,87.1,0.396,67.3,4.22,25.37
2755.1,92.2,0.546,30.3,4.03,19.66
1766.8,93.7,0.372,19.2,3.52,14.31
2946.6,83.3,0.413,24.2,3.18,19.51
1516.8,80.0,0.487,57.4,3.74,19.16
2146.9,77.0,0.513,74.5,3.62,25.1
2405.9,91.0,0.43,18.1,3.85,16.54
2298.3,81.4,0.402,66.4,3.65,24.36
1982.1,75.1,0.564,38.9,3.0,18.27
2127.2,90.3,0.589,48.5,3.64,20.99
2027.4,103.0,0.528,80.0,3.68,27.26
1993.7,88.0,0.457,38.2,4.05,18.07
2497.4,93.0,0.385,47.6,3.52,22.29
2325.0,88.5,0.384,16.0,4.47,15.72
1957.5,87.4,0.492,20.7,3.04,14.73
2514.9,93.5,0.483,33.1,4.32,20.06
2307.6,86.3,0.562,16.9,3.71,16.51
2484.5,89.6,0.502,59.2,4.14,24.12
2420.4,89.9,0.33,44.8,3.83,21.49
1909.9,84.0,0.534,53.4,4.26,20.67
2003.9,94.0,0.37,27.2,3.65,16.49
2461.6,87.0,0.419,35.7,3.36,19.06
2413.6,83.5,0.47,61.5,4.37,23.74
2192.7,91.2,0.61,82.6,3.75,26.81
2241.1,82.6,0.699,18.5,3.89,16.17
2647.2,88.2,0.499,77.3,4.29,27.91
1993.0,87.9,0.435,55.4,3.39,21.38
2391.5,94.5,0.493,54.5,4.04,23.46
2129.2,90.8,0.521,50.0,3.56,20.79
2123.8,87.8,0.424,19.9,3.75,15.33
2584.6,92.9,0.594,21.3,3.83,17.86
2488.9,96.3,0.468,57.1,3.2,24.42
2484.7,91.3,0.49,38.9,3.49,20.72
2656.9,88.1,0.503,79.2,4.34,28.4
2207.4,80.1,0.484,43.5,4.15,19.84
2438.7,81.6,0.517,25.0,3.77,17.58
2091.4,86.2,0.401,65.0,3.9,23.6
2313.5,84.3,0.405,35.5,3.68,18.62
2154.4,86.9,0.362,51.8,4.34,21.43
2233.9,88.3,0.485,63.8,3.72,23.58
2408.3,91.2,0.512,78.0,3.89,27.33
1913.6,87.6,0.487,70.5,4.26,23.73
2932.3,90.9,0.584,62.3,3.49,27.35
1847.9,88.4,0.45,62.6,4.42,22.25
1775.0,76.1,0.503,81.2,3.19,24.3
2605.3,82.4,0.363,35.7,4.45,19.99
2477.1,87.1,0.419,15.1,3.65,16.23
2418.4,80.7,0.506,34.0,3.7,19.54
2419.9,91.6,0.518,30.3,3.04,18.56
2195.7,97.2,0.426,61.3,3.62,23.2
1886.0,95.3,0.444,59.4,3.38,22.43
2226.5,86.7,0.329,56.5,3.56,22.06
1963.0,96.9,0.421,16.1,3.75,14.57
2541.3,88.9,0.521,66.0,4.18,25.45
2148.5,86.0,0.496,37.6,3.88,18.79
1911.1,84.3,0.49,61.6,3.92,22.38
2087.5,86.2,0.454,54.0,3.36,21.28
2344.5,85.7,0.451,39.0,3.45,19.69
2002.7,89.0,0.397,24.4,4.52,16.01
1912.2,89.0,0.506,21.6,3.51,15.21
2285.3,88.0,0.484,73.2,4.46,25.86
2285.7,90.6,0.489,79.3,3.7,27.19
2022.6,95.1,0.408,60.5,3.8,23.15
2035.1,93.7,0.278,22.2,4.23,16.09
2281.2,79.1,0.538,43.1,4.31,20.15
1693.2,72.7,0.412,66.0,3.76,21.04
1707.4,93.6,0.381,69.6,3.64,23.24
1948.5,79.8,0.505,23.3,3.78,15.35
2125.3,86.7,0.419,15.0,3.94,14.93
2308.8,81.0,0.535,64.8,4.16,23.85
2716.4,77.2,0.499,40.0,3.8,20.76
2500.2,91.2,0.505,32.8,4.05,19.31
2144.0,92.6,0.341,15.9,4.46,15.36
2193.3,84.5,0.547,52.8,3.95,22.01
1849.1,72.5,0.471,74.6,3.92,23.57
2193.5,84.7,0.42,82.0,3.19,27.23
2099.0,90.4,0.461,54.6,2.75,21.91
2313.0,79.1,0.308,51.0,3.96,21.49
1910.5,89.1,0.483,21.0,3.76,14.97
2381.8,87.9,0.368,53.4,3.59,22.88
2736.5,91.5,0.342,41.6,3.9,22.12
2161.9,88.7,0.328,57.5,3.78,23.35
2340.6,82.2,0.539,42.2,4.25,19.89
2441.6,95.2,0.4,31.8,3.83,19.47
2059.6,87.0,0.573,21.6,3.5,15.45
2278.4,87.8,0.407,37.0,4.2,18.97
2204.4,82.4,0.313,21.8,3.71,16.0
2234.2,85.3,0.361,27.4,4.01,17.31
1929.4,82.7,0.549,84.1,3.61,27.21
2208.6,87.0,0.438,46.1,3.54,20.54
2374.3,98.3,0.406,52.2,3.83,22.45
2707.9,79.8,0.463,76.2,3.81,27.68
2535.7,78.3,0.49,84.7,3.99,27.68
2953.6,96.8,0.539,55.8,3.69,25.59
1931.4,86.7,0.566,71.9,3.07,24.19
2505.3,84.0,0.421,37.9,3.63,20.4
2264.2,94.2,0.344,36.4,4.12,19.74
2966.4,84.4,0.417,43.2,3.68,22.67
1917.1,99.0,0.471,62.1,3.7,22.86
1906.1,92.1,0.373,62.8,4.19,22.41
1990.2,85.1,0.373,37.1,3.52,17.67
1456.6,100.9,0.478,24.3,3.18,14.56
2016.0,84.4,0.446,59.3,3.74,21.68
1934.3,92.5,0.453,24.0,3.61,15.68
2252.6,89.8,0.389,55.5,3.41,22.24
2319.6,95.8,0.432,63.5,3.73,24.76
2856.7,97.4,0.376,64.0,4.0,27.4
2532.6,88.2,0.521,67.7,3.8,25.33
1998.1,83.5,0.533,76.1,3.92,24.4
1885.6,90.8,0.302,50.0,4.53,20.21
2372.2,83.9,0.376,66.1,3.66,24.7
1737.9,100.1,0.33,58.3,3.91,21.69
2841.0,88.8,0.398,28.1,3.6,19.69
2612.8,85.8,0.443,16.8,3.46,16.74
2035.8,89.1,0.334,34.9,3.57,18.16
1600.4,79.9,0.376,46.0,3.61,18.32
2673.9,82.2,0.37,58.2,3.94,23.65
2159.9,95.2,0.467,74.5,4.74,25.77
2633.2,84.1,0.456,28.7,3.51,19.04
1642.0,81.7,0.392,23.8,3.63,13.88
1990.2,91.2,0.464,82.4,3.77,27.11
2201.8,95.1,0.406,22.6,3.96,16.49
2216.4,92.3,0.428,48.5,3.91,21.29
2042.5,94.0,0.584,56.0,4.31,22.26
2418.0,83.5,0.557,52.9,2.83,22.26
1826.3,79.5,0.346,21.0,2.85,13.65
2150.2,97.0,0.516,19.0,3.6,15.8
2242.1,86.1,0.515,22.4,4.24,16.78
2380.1,86.5,0.358,56.0,3.17,22.9
2449.1,96.0,0.516,53.1,2.6,22.89
1806.4,91.3,0.573,31.4,4.03,16.94
1663.1,90.7,0.36,59.6,3.9,21.02
2647.2,101.0,0.377,72.4,3.36,27.46
2316.3,84.1,0.531,17.9,3.41,15.86
1938.0,93.6,0.472,49.9,3.41,20.82
2742.9,88.3,0.494,63.3,3.84,26.62
2240.5,89.6,0.477,32.7,3.55,18.72
2612.8,97.2,0.481,36.5,4.0,21.29
2223.6,91.0,0.344,58.0,2.66,22.8
2921.3,91.2,0.534,77.9,3.46,28.86
2814.4,94.4,0.544,71.7,3.35,27.87
2112.9,85.8,0.432,55.8,3.7,21.98
2540.0,83.0,0.447,66.1,3.58,24.91
2425.9,81.7,0.328,40.5,4.12,20.13
2679.0,76.2,0.491,59.9,3.06,24.53
1862.3,100.3,0.496,47.6,3.82,20.29
2440.1,81.4,0.445,28.3,4.02,18.2
2570.4,86.7,0.54,64.1,4.54,25.31
1584.4,86.3,0.423,54.0,3.61,19.44
1785.9,89.8,0.495,40.1,3.93,17.87
1486.3,92.9,0.368,78.8,3.08,23.59
2105.7,93.2,0.448,16.5,2.84,15.78
2451.1,84.5,0.436,37.1,4.14,19.8
2725.8,87.0,0.468,19.0,3.8,17.61
2225.9,89.7,0.42,68.7,4.27,24.53
2770.0,86.5,0.439,64.1,3.25,26.99
1717.0,97.6,0.516,38.2,4.01,17.42
1603.8,90.9,0.415,62.3,4.55,21.25
2180.6,92.4,0.321,42.7,3.97,20.28
2334.4,92.0,0.59,67.9,3.91,25.45
2188.6,95.0,0.561,46.8,3.8,21.35
1476.4,89.1,0.347,43.9,3.17,18.15
2168.8,80.2,0.505,80.4,4.34,26.51
1743.4,90.4,0.41,32.6,3.56,16.18
2434.4,84.1,0.471,23.4,4.0,17.16
2328.3,84.8,0.474,55.9,3.17,22.84
1871.0,91.5,0.431,82.9,3.33,26.87
2020.1,95.4,0.387,41.4,4.37,18.94
1829.3,88.1,0.395,19.3,3.66,14.82
2178.1,89.9,0.377,38.8,4.38,19.36
2534.3,98.2,0.383,50.4,3.77,23.42
1855.0,89.4,0.445,26.3,3.06,15.78
2376.4,103.6,0.393,61.1,4.16,24.39
2014.4,91.4,0.505,84.8,3.56,27.3
1922.5,77.4,0.569,46.6,4.08,19.41
2162.5,92.5,0.404,39.8,3.81,19.89
1837.7,90.3,0.469,43.0,3.18,18.79
2006.2,95.7,0.49,23.1,3.87,15.87
1780.7,92.0,0.488,76.8,4.68,24.19
2887.7,87.2,0.456,44.0,4.0,23.11
2212.3,80.7,0.509,42.1,3.78,19.76
1955.1,86.7,0.489,61.2,4.23,22.01
2274.9,82.9,0.351,45.9,3.88,20.46
2160.7,84.5,0.52,60.4,3.88,22.72
2122.7,91.5,0.521,19.3,3.36,15.14
2415.0,98.0,0.389,72.0,3.89,26.25
2465.1,90.4,0.453,80.8,4.21,27.59
2014.3,80.8,0.505,60.4,3.47,22.02
1998.5,90.7,0.433,81.8,4.37,26.14
2103.7,95.2,0.536,25.6,3.76,16.32
1394.3,84.3,0.639,48.4,3.44,18.52
1669.7,87.2,0.387,57.1,4.2,20.99
2678.4,88.1,0.34,55.7,3.69,23.9
2775.7,83.3,0.474,43.1,4.1,22.15
2112.8,91.9,0.508,38.7,3.68,19.27
2401.8,87.3,0.432,23.9,3.78,17.77
2308.9,90.5,0.566,42.4,4.0,20.2
3277.6,82.7,0.343,26.4,3.92,21.31
2591.9,85.4,0.505,66.4,3.0,25.45
2155.2,92.3,0.402,29.6,3.35,17.21
1865.6,85.8,0.588,19.1,4.17,14.64
1637.7,98.4,0.609,53.7,3.75,20.76
2271.2,85.6,0.389,56.7,3.59,23.59
1935.3,89.3,0.406,76.0,3.26,24.64
1702.2,93.6,0.519,55.4,3.37,20.89
1973.7,79.5,0.419,39.2,2.99,17.99
1821.5,77.4,0.446,71.2,3.76,23.5
2790.5,78.8,0.452,52.8,3.56,23.14
2508.6,95.6,0.296,20.5,3.41,17.09
2197.2,84.7,0.449,54.6,3.77,21.72
2718.0,103.3,0.395,78.6,3.95,29.15
2227.1,84.6,0.411,42.7,4.64,19.74
1898.6,89.1,0.565,35.7,3.2,17.89
2733.1,97.3,0.349,25.0,4.26,19.63
2388.6,100.0,0.515,25.6,4.19,18.4
1837.0,100.4,0.428,45.3,3.49,20.22
2133.4,95.3,0.428,56.7,3.88,22.74
1893.5,94.1,0.513,20.6,3.62,14.72
1716.0,91.6,0.477,80.8,3.87,25.66
2524.2,92.7,0.496,67.9,4.4,25.76
2868.3,84.7,0.527,56.1,4.04,25.12
1710.5,83.1,0.423,73.0,4.0,23.93
2397.0,88.0,0.401,20.6,3.63,16.94
1972.3,87.0,0.363,48.4,3.21,19.59
2029.5,85.3,0.384,59.1,3.72,21.87
1992.7,92.2,0.686,73.0,4.28,25.32
1897.6,93.7,0.55,69.8,3.19,23.94
2217.0,88.5,0.342,34.4,3.38,18.63
1909.2,96.9,0.344,80.9,3.85,26.43
2294.7,81.1,0.489,23.7,3.41,16.88
2182.4,86.8,0.494,76.3,3.48,26.03
2116.4,83.7,0.494,83.0,3.63,26.67
1882.4,76.8,0.43,27.4,3.25,15.43
1998.1,87.5,0.44,65.5,3.41,23.63
2464.4,87.3,0.476,17.8,4.08,16.69
2375.3,97.1,0.457,43.4,3.28,21.11
1857.9,91.8,0.272,51.1,3.16,20.77
2234.8,81.9,0.432,55.6,3.55,22.15
2463.0,99.1,0.382,80.5,4.09,28.01
1615.7,95.3,0.464,62.1,3.72,21.33
2390.2,91.5,0.689,48.7,3.61,21.62
1968.1,86.6,0.479,71.7,3.82,24.18
2399.7,82.2,0.425,81.5,3.1,27.93
1932.9,85.8,0.524,16.5,4.0,13.9
1568.3,94.5,0.489,83.8,3.95,25.36
1630.4,99.3,0.484,21.0,3.64,14.22
2216.8,97.3,0.499,72.0,4.2,25.67
2290.9,85.1,0.615,34.6,3.35,18.24
1883.5,81.3,0.36,24.3,4.25,15.1
2423.5,88.8,0.488,45.8,3.86,21.38
1618.5,77.4,0.376,60.1,3.67,20.64
2176.9,89.9,0.494,41.7,3.79,19.9
1776.1,87.1,0.377,18.8,3.76,13.64
1971.9,85.2,0.417,57.0,4.29,21.96
2216.6,78.4,0.426,78.2,3.37,26.1
1898.9,91.1,0.528,41.8,3.49,18.91
2065.4,84.8,0.523,30.1,4.21,17.09
2552.2,81.0,0.35,46.0,3.56,21.44
1998.1,70.8,0.454,18.4,4.16,14.16
2492.5,87.8,0.393,72.4,4.48,26.63
1804.6,98.6,0.349,72.8,3.64,23.8
2385.4,98.0,0.433,56.2,4.07,23.39
2704.5,85.3,0.425,39.7,3.34,21.17
1334.9,84.4,0.644,71.0,4.1,21.74
1921.1,90.8,0.485,53.8,3.88,21.49
2402.0,82.0,0.34,72.8,3.99,25.65
2128.9,89.8,0.405,59.2,3.54,22.61
2329.9,92.6,0.532,69.9,3.14,25.42
1988.6,95.4,0.617,56.9,4.0,21.81
2230.3,87.4,0.323,44.0,2.97,20.2
2145.5,86.8,0.3,82.1,3.67,27.1
2608.7,82.7,0.6,52.9,4.18,22.79
2289.0,83.0,0.481,57.4,3.88,22.91
2318.2,86.6,0.381,30.4,4.58,17.59
2055.8,90.2,0.493,58.8,4.21,22.26
