car_name,model_year,age_years,present_price_lakhs,kms_driven,fuel_type,seller_type,transmission,owner_count,selling_price_lakhs
Hyundai Creta,2015,9,17.13,92983,Diesel,Individual,Automatic,0,4.4
Tata Nexon,2015,9,11.52,90932,Diesel,Dealer,Manual,0,3.84
Toyota Innova Crysta,2020,4,25.33,51946,Diesel,Dealer,Manual,0,14.63
Tata Harrier,2014,10,16.53,95607,Diesel,Dealer,Automatic,1,4.46
Maruti Baleno,2016,8,8.54,95979,Petrol,Dealer,Manual,2,1.9
Tata Nexon,2017,7,11.91,81259,Diesel,Dealer,Manual,0,4.89
Mahindra XUV700,2019,5,22.2,62735,Diesel,Dealer,Automatic,0,12.06
Tata Nexon,2011,13,11.89,178167,Diesel,Dealer,Manual,0,2.3
Toyota Innova Crysta,2016,8,23.69,101732,Diesel,Dealer,Manual,1,6.27
Mahindra XUV700,2017,7,23.11,73906,Diesel,Individual,Automatic,1,8.22
Maruti Baleno,2013,11,7.62,103299,Diesel,Dealer,Manual,1,2.16
Toyota Innova Crysta,2018,6,27.14,59309,Diesel,Individual,Manual,1,10.33
Hyundai i20,2015,9,8.5,121628,Petrol,Dealer,Manual,0,2.05
Tata Harrier,2019,5,18.35,51526,Diesel,Individual,Automatic,0,9.31
Maruti Baleno,2015,9,7.02,130184,Petrol,Dealer,Manual,0,1.2
Hyundai i20,2019,5,8.26,57411,Diesel,Dealer,Automatic,1,3.99
Hyundai Creta,2020,4,16.05,61453,Diesel,Dealer,Automatic,0,9.76
Maruti Baleno,2014,10,8.11,137741,Petrol,Individual,Manual,1,1.2
Hyundai Creta,2019,5,12.48,58114,Diesel,Dealer,Automatic,1,5.8
Mahindra XUV700,2015,9,20.87,86225,Diesel,Individual,Manual,1,5.9
Hyundai i20,2020,4,7.85,40506,Petrol,Dealer,Manual,0,4.48
Tata Harrier,2019,5,17.45,71915,Diesel,Dealer,Automatic,0,8.84
Toyota Innova Crysta,2013,11,27.1,143722,Diesel,Dealer,Automatic,0,6.0
Toyota Fortuner,2014,10,37.8,119324,Diesel,Dealer,Automatic,2,8.04
Tata Nexon,2019,5,11.43,52837,Diesel,Individual,Manual,0,5.64
Maruti Swift,2020,4,7.33,51923,Petrol,Individual,Manual,1,3.59
Tata Harrier,2021,3,19.74,32035,Diesel,Individual,Automatic,0,13.17
Hyundai i20,2016,8,9.15,99760,Petrol,Dealer,Manual,1,2.0
Toyota Fortuner,2012,12,38.94,157313,Diesel,Dealer,Automatic,1,7.39
Tata Harrier,2017,7,19.83,94413,Petrol,Individual,Automatic,0,5.84
Hyundai i20,2012,12,8.97,154554,Petrol,Individual,Manual,1,1.2
Honda City,2021,3,15.89,41484,Petrol,Dealer,Automatic,0,10.53
Honda City,2012,12,15.14,160034,Petrol,Dealer,Automatic,0,2.36
Hyundai Creta,2021,3,14.33,35870,Diesel,Individual,Automatic,0,9.94
Tata Harrier,2011,13,20.23,121961,Diesel,Dealer,Automatic,0,4.43
Honda City,2021,3,16.48,43615,Petrol,Individual,Automatic,0,10.52
Hyundai i20,2021,3,8.22,28040,Petrol,Individual,Manual,0,5.11
Hyundai Creta,2022,2,17.33,21555,Diesel,Dealer,Automatic,0,14.1
Hyundai i20,2021,3,9.23,42998,Petrol,Dealer,Automatic,0,5.95
Hyundai Creta,2013,11,15.82,124564,Diesel,Dealer,Automatic,0,4.09
Tata Harrier,2016,8,18.71,79265,Diesel,Dealer,Automatic,1,6.07
Toyota Fortuner,2018,6,39.22,78215,Diesel,Dealer,Automatic,0,17.09
Toyota Innova Crysta,2019,5,26.26,52879,Diesel,Individual,Manual,0,12.79
Maruti Baleno,2017,7,7.39,95793,Petrol,Dealer,Manual,0,2.44
Toyota Fortuner,2014,10,41.2,118888,Diesel,Dealer,Automatic,0,10.97
Mahindra XUV700,2016,8,23.84,77109,Diesel,Dealer,Automatic,0,9.37
Hyundai i20,2015,9,8.21,101709,Petrol,Individual,Manual,0,1.59
Mahindra XUV700,2018,6,20.72,80112,Diesel,Dealer,Automatic,1,8.37
Toyota Fortuner,2011,13,44.61,138400,Diesel,Dealer,Automatic,1,7.47
Hyundai Creta,2011,13,15.32,190765,Diesel,Dealer,Automatic,0,2.85
Maruti Baleno,2023,1,6.63,14086,Petrol,Individual,Manual,0,5.12
Maruti Baleno,2021,3,8.29,31943,Petrol,Dealer,Manual,0,5.6
Maruti Swift,2016,8,7.34,82768,Petrol,Dealer,Manual,0,1.89
Maruti Baleno,2020,4,7.87,44476,Petrol,Dealer,Manual,1,3.64
Toyota Innova Crysta,2022,2,26.0,23629,Diesel,Individual,Manual,0,19.55
Maruti Baleno,2012,12,7.73,171903,Petrol,Individual,Manual,0,1.2
Toyota Fortuner,2015,9,44.27,81236,Diesel,Dealer,Automatic,2,11.77
Maruti Swift,2011,13,7.47,164848,Petrol,Dealer,Manual,0,1.2
Toyota Fortuner,2017,7,41.61,103571,Diesel,Individual,Manual,0,14.3
Toyota Fortuner,2011,13,37.28,126745,Diesel,Individual,Automatic,1,6.19
Tata Nexon,2014,10,10.44,97422,Petrol,Dealer,Manual,0,2.85
Maruti Swift,2019,5,7.31,58460,Petrol,Individual,Manual,1,3.26
Toyota Fortuner,2011,13,39.13,139197,Diesel,Dealer,Manual,1,6.22
Tata Nexon,2014,10,11.43,139602,Petrol,Individual,Manual,2,1.23
Tata Nexon,2016,8,12.34,111802,Diesel,Individual,Manual,1,2.89
Maruti Swift,2016,8,7.59,97886,Petrol,Individual,Manual,0,1.95
Mahindra XUV700,2022,2,20.1,26516,Diesel,Individual,Automatic,0,15.68
Hyundai Creta,2023,1,15.18,17078,Diesel,Dealer,Automatic,0,13.95
Toyota Innova Crysta,2018,6,25.22,64827,Diesel,Dealer,Automatic,1,10.97
Hyundai Creta,2011,13,17.39,117237,Diesel,Dealer,Automatic,1,2.56
Maruti Baleno,2017,7,7.64,67478,Petrol,Individual,Manual,0,2.52
Toyota Innova Crysta,2011,13,21.52,172476,Diesel,Dealer,Automatic,0,4.14
Maruti Baleno,2023,1,6.84,8855,Petrol,Individual,Manual,0,6.46
Toyota Fortuner,2017,7,34.62,96074,Diesel,Dealer,Automatic,0,13.77
Hyundai i20,2013,11,10.33,161031,Petrol,Dealer,Manual,1,1.55
Maruti Swift,2021,3,7.39,31066,Diesel,Dealer,Manual,0,5.13
Toyota Innova Crysta,2018,6,21.74,75655,Diesel,Dealer,Manual,0,10.02
Toyota Innova Crysta,2013,11,23.37,129254,Diesel,Dealer,Manual,1,4.63
Toyota Fortuner,2023,1,37.03,8860,Diesel,Individual,Automatic,0,33.02
Mahindra XUV700,2011,13,18.46,153227,Diesel,Dealer,Automatic,1,3.06
Tata Nexon,2023,1,12.14,10660,Diesel,Individual,Manual,0,10.4
Toyota Fortuner,2023,1,35.51,11476,Diesel,Dealer,Automatic,0,33.92
Honda City,2018,6,15.71,91277,Petrol,Dealer,Automatic,0,5.93
Tata Nexon,2013,11,11.7,141939,Diesel,Individual,Manual,1,2.76
Maruti Swift,2012,12,6.03,120308,Petrol,Individual,Manual,0,1.35
Tata Nexon,2011,13,11.86,126447,Diesel,Dealer,Manual,1,1.79
Mahindra XUV700,2013,11,23.34,152279,Diesel,Dealer,Automatic,0,4.83
Tata Nexon,2012,12,13.12,155407,Diesel,Dealer,Manual,0,3.05
Maruti Swift,2012,12,7.64,126817,CNG,Dealer,Automatic,0,1.28
Mahindra XUV700,2016,8,23.01,118461,Petrol,Dealer,Manual,2,5.31
Hyundai Creta,2022,2,14.12,19582,Diesel,Dealer,Automatic,0,11.24
Toyota Innova Crysta,2011,13,22.74,124086,Diesel,Dealer,Manual,0,4.15
Toyota Innova Crysta,2012,12,24.75,147210,CNG,Dealer,Manual,0,4.01
Maruti Baleno,2016,8,6.7,86329,Petrol,Dealer,Manual,0,2.74
Hyundai Creta,2013,11,14.52,100321,Diesel,Individual,Automatic,0,3.86
Hyundai Creta,2014,10,13.24,106648,Diesel,Individual,Automatic,1,2.72
Tata Nexon,2011,13,13.06,173244,Diesel,Dealer,Manual,0,1.85
Toyota Innova Crysta,2018,6,24.97,89719,Diesel,Dealer,Manual,1,9.41
Maruti Swift,2023,1,7.66,9281,Petrol,Dealer,Manual,0,6.93
Tata Harrier,2017,7,18.46,84324,Diesel,Dealer,Automatic,1,7.0
Tata Harrier,2017,7,18.86,73998,Diesel,Individual,Automatic,0,7.71
Mahindra XUV700,2013,11,22.08,141516,Diesel,Dealer,Automatic,0,5.11
Toyota Innova Crysta,2020,4,26.24,61458,CNG,Dealer,Manual,0,14.07
Toyota Innova Crysta,2020,4,23.46,46502,Diesel,Dealer,Manual,1,12.55
Tata Harrier,2013,11,18.77,145783,CNG,Dealer,Automatic,0,3.21
Toyota Innova Crysta,2012,12,24.22,133542,Diesel,Dealer,Manual,1,4.26
Tata Nexon,2022,2,11.31,29449,Diesel,Dealer,Manual,0,9.08
Honda City,2011,13,15.6,132350,Petrol,Individual,Manual,0,2.37
Hyundai i20,2017,7,7.72,89369,Petrol,Dealer,Manual,1,1.2
Hyundai Creta,2017,7,15.73,85010,Diesel,Individual,Automatic,1,5.37
Maruti Baleno,2022,2,8.15,29720,CNG,Dealer,Manual,0,6.21
Mahindra XUV700,2012,12,22.36,124070,Diesel,Individual,Automatic,0,4.39
Honda City,2017,7,14.42,86219,Petrol,Dealer,Automatic,2,3.84
Tata Harrier,2023,1,18.72,13220,Diesel,Dealer,Automatic,0,18.0
Hyundai Creta,2018,6,16.25,77626,CNG,Dealer,Automatic,1,5.97
Toyota Innova Crysta,2011,13,22.9,169332,Diesel,Dealer,Manual,2,3.34
Maruti Baleno,2019,5,8.0,52673,Petrol,Dealer,Manual,1,3.24
Toyota Innova Crysta,2017,7,25.14,92673,Diesel,Individual,Manual,1,7.63
Maruti Swift,2013,11,7.89,104395,Petrol,Dealer,Manual,1,1.2
Maruti Swift,2018,6,8.68,78858,Petrol,Dealer,Manual,1,3.11
Maruti Baleno,2017,7,8.19,97474,Petrol,Dealer,Manual,1,2.51
Maruti Baleno,2021,3,7.82,34268,Diesel,Dealer,Manual,0,5.51
Tata Harrier,2023,1,19.56,15000,Diesel,Dealer,Manual,0,16.92
Maruti Baleno,2018,6,7.13,52991,Petrol,Dealer,Manual,1,2.38
Tata Nexon,2016,8,13.7,111174,Diesel,Individual,Manual,0,4.21
Toyota Innova Crysta,2019,5,26.76,51846,Diesel,Individual,Manual,1,11.67
Honda City,2015,9,13.4,117097,Petrol,Dealer,Automatic,0,3.66
Toyota Fortuner,2013,11,42.1,133362,Diesel,Individual,Automatic,1,8.4
Maruti Baleno,2013,11,7.27,160031,Petrol,Dealer,Manual,1,1.55
Mahindra XUV700,2011,13,19.49,159690,Diesel,Dealer,Automatic,0,3.61
Maruti Swift,2022,2,7.44,19447,Petrol,Individual,Manual,0,5.38
Tata Nexon,2018,6,12.4,88558,Diesel,Dealer,Manual,1,5.16
Hyundai Creta,2012,12,16.68,156374,CNG,Individual,Automatic,0,1.99
Toyota Fortuner,2013,11,39.41,124975,Diesel,Dealer,Automatic,1,8.19
Honda City,2018,6,14.23,91471,Petrol,Individual,Automatic,0,5.06
Toyota Fortuner,2018,6,33.3,83352,Diesel,Dealer,Automatic,0,15.44
Maruti Baleno,2021,3,7.69,38138,Petrol,Dealer,Manual,0,5.2
Tata Harrier,2014,10,18.18,104010,Diesel,Dealer,Automatic,0,4.58
Maruti Swift,2014,10,7.45,103843,Petrol,Dealer,Manual,0,1.98
Maruti Swift,2015,9,7.34,126504,Petrol,Dealer,Automatic,2,1.6
Hyundai Creta,2016,8,13.59,107777,Diesel,Dealer,Automatic,0,4.51
Tata Harrier,2015,9,19.86,121696,Diesel,Dealer,Automatic,0,4.49
Toyota Innova Crysta,2017,7,23.78,67764,CNG,Dealer,Manual,0,8.71
Hyundai i20,2012,12,9.32,133640,Petrol,Dealer,Automatic,0,1.97
Tata Nexon,2017,7,12.33,61051,Diesel,Dealer,Manual,2,3.81
Maruti Swift,2020,4,6.89,46012,Petrol,Dealer,Manual,0,3.38
Mahindra XUV700,2017,7,23.01,93380,Diesel,Individual,Automatic,1,8.03
Maruti Swift,2011,13,6.47,168900,Petrol,Dealer,Manual,0,1.2
Toyota Fortuner,2017,7,37.01,87393,Diesel,Dealer,Automatic,0,15.18
Maruti Swift,2015,9,8.08,90098,Petrol,Dealer,Manual,1,1.97
Maruti Swift,2013,11,7.25,104805,Petrol,Dealer,Manual,2,1.22
Hyundai i20,2023,1,9.35,15896,Petrol,Dealer,Manual,0,8.17
Hyundai i20,2013,11,9.29,127763,CNG,Dealer,Automatic,1,1.55
Honda City,2014,10,13.18,121290,Petrol,Dealer,Automatic,0,3.39
Toyota Innova Crysta,2023,1,25.32,12640,Diesel,Dealer,Manual,0,22.75
Mahindra XUV700,2022,2,23.27,20555,Diesel,Dealer,Automatic,0,19.34
Maruti Swift,2012,12,7.1,119472,Petrol,Dealer,Manual,1,1.4
Maruti Swift,2012,12,6.98,134982,Petrol,Dealer,Manual,0,1.2
Tata Nexon,2011,13,12.15,171382,Diesel,Dealer,Manual,1,1.85
Hyundai i20,2015,9,8.43,97296,Petrol,Dealer,Manual,0,2.07
Mahindra XUV700,2014,10,21.07,102903,Diesel,Dealer,Automatic,0,6.07
Hyundai Creta,2021,3,18.54,43527,Diesel,Dealer,Manual,0,13.13
Honda City,2020,4,13.58,49290,Petrol,Dealer,Automatic,0,8.16
Toyota Innova Crysta,2012,12,26.49,147430,Diesel,Individual,Manual,0,4.72
Tata Harrier,2013,11,19.32,113736,Diesel,Individual,Automatic,0,4.45
Toyota Innova Crysta,2017,7,24.0,75918,Diesel,Dealer,Manual,1,8.45
Toyota Fortuner,2017,7,37.93,66192,Diesel,Dealer,Automatic,0,17.13
Maruti Swift,2022,2,7.2,25106,Petrol,Individual,Manual,0,5.56
Honda City,2014,10,14.61,93096,Petrol,Dealer,Automatic,0,3.39
Toyota Fortuner,2015,9,35.82,127027,CNG,Individual,Automatic,1,7.3
Mahindra XUV700,2015,9,21.13,94785,Diesel,Individual,Automatic,0,6.33
Tata Harrier,2016,8,17.58,120488,Diesel,Individual,Automatic,1,5.48
Hyundai i20,2019,5,8.64,69720,Petrol,Dealer,Manual,0,4.06
Honda City,2012,12,14.41,110410,Petrol,Dealer,Automatic,0,2.76
Honda City,2015,9,13.66,92219,Petrol,Dealer,Automatic,0,4.14
Maruti Swift,2022,2,7.55,32734,Petrol,Individual,Manual,0,5.53
Maruti Baleno,2013,11,9.2,107879,Petrol,Individual,Automatic,0,1.29
Honda City,2014,10,12.65,119418,Petrol,Dealer,Automatic,1,2.04
Tata Nexon,2020,4,12.88,58541,Diesel,Dealer,Manual,0,7.06
Tata Harrier,2016,8,19.29,103640,Diesel,Dealer,Automatic,1,5.71
Tata Harrier,2022,2,19.05,14788,Diesel,Individual,Automatic,0,15.33
Tata Nexon,2018,6,11.15,73937,Diesel,Dealer,Manual,0,4.86
Hyundai Creta,2011,13,16.77,157784,Diesel,Individual,Automatic,1,2.67
Tata Nexon,2020,4,10.75,47198,Diesel,Dealer,Manual,2,5.34
Tata Nexon,2018,6,12.34,72262,Diesel,Dealer,Manual,0,5.44
Tata Harrier,2021,3,18.43,41086,Diesel,Individual,Automatic,0,12.01
Toyota Innova Crysta,2017,7,25.05,105151,Diesel,Dealer,Manual,0,8.89
Tata Harrier,2011,13,20.62,128108,Diesel,Individual,Automatic,0,3.71
Maruti Baleno,2012,12,8.54,168713,Petrol,Dealer,Manual,0,1.2
Maruti Swift,2013,11,7.44,153313,Petrol,Dealer,Manual,0,1.58
Toyota Fortuner,2011,13,37.44,184451,Diesel,Dealer,Automatic,0,6.61
Toyota Innova Crysta,2019,5,28.07,52779,Diesel,Dealer,Manual,0,15.01
Hyundai i20,2018,6,8.24,83875,Petrol,Dealer,Manual,0,2.66
Toyota Fortuner,2012,12,44.05,164298,Diesel,Dealer,Automatic,1,8.63
Maruti Swift,2023,1,8.32,4000,Petrol,Individual,Manual,0,7.39
Maruti Baleno,2019,5,8.55,57576,Petrol,Individual,Manual,0,3.85
Maruti Baleno,2017,7,9.04,99423,Petrol,Dealer,Manual,1,1.88
Hyundai i20,2019,5,8.59,67097,Petrol,Individual,Manual,1,3.4
Toyota Innova Crysta,2016,8,23.24,84247,Diesel,Dealer,Manual,1,7.35
Hyundai Creta,2016,8,16.88,111767,Diesel,Individual,Automatic,0,5.76
Tata Nexon,2021,3,11.36,41564,Diesel,Individual,Manual,0,8.05
Toyota Innova Crysta,2014,10,22.19,108930,Diesel,Dealer,Manual,0,5.78
Hyundai Creta,2020,4,15.21,34265,Diesel,Dealer,Automatic,0,9.88
Maruti Baleno,2020,4,8.0,51516,Petrol,Individual,Manual,0,3.52
Tata Harrier,2023,1,17.29,16502,Diesel,Individual,Automatic,0,15.31
Maruti Swift,2023,1,6.24,14743,Petrol,Dealer,Manual,0,5.64
Hyundai i20,2012,12,10.18,154759,Petrol,Dealer,Manual,0,1.96
Maruti Swift,2017,7,8.15,87272,Petrol,Dealer,Manual,1,2.19
Mahindra XUV700,2015,9,24.34,124093,Diesel,Dealer,Automatic,0,6.27
Mahindra XUV700,2021,3,17.56,40315,Diesel,Dealer,Automatic,0,12.71
Toyota Innova Crysta,2016,8,25.37,79934,Diesel,Dealer,Manual,0,8.79
Maruti Baleno,2012,12,7.9,147170,Petrol,Dealer,Manual,1,1.29
Maruti Baleno,2015,9,8.57,132324,Diesel,Dealer,Manual,1,1.93
Tata Nexon,2020,4,11.17,52996,Diesel,Dealer,Manual,1,5.41
Tata Nexon,2014,10,10.85,117291,Diesel,Dealer,Manual,2,1.54
Tata Nexon,2019,5,11.56,64135,Diesel,Dealer,Manual,0,5.54
Tata Harrier,2016,8,19.76,85489,Diesel,Dealer,Automatic,0,7.21
Toyota Fortuner,2012,12,41.15,185047,Diesel,Dealer,Automatic,0,8.47
Honda City,2011,13,14.45,168891,Petrol,Individual,Manual,2,1.35
Toyota Fortuner,2015,9,40.57,98349,Diesel,Individual,Automatic,0,12.07
Maruti Swift,2019,5,7.34,59064,Petrol,Dealer,Manual,0,4.08
Toyota Fortuner,2016,8,42.94,90568,Diesel,Individual,Automatic,0,14.82
Tata Harrier,2020,4,16.59,43850,Diesel,Individual,Automatic,0,9.53
Maruti Swift,2022,2,7.63,20365,Petrol,Dealer,Manual,0,6.22
Toyota Fortuner,2017,7,45.54,96803,Diesel,Dealer,Automatic,0,17.25
Tata Harrier,2015,9,17.6,89802,Diesel,Individual,Automatic,2,4.32
Honda City,2020,4,15.0,55585,Petrol,Individual,Automatic,0,6.92
Toyota Fortuner,2016,8,36.48,105338,Diesel,Dealer,Manual,1,10.27
Tata Harrier,2015,9,19.54,101781,Diesel,Dealer,Automatic,0,6.52
Tata Nexon,2021,3,11.79,29710,Diesel,Individual,Manual,0,7.61
Maruti Baleno,2019,5,8.14,65264,Petrol,Dealer,Manual,1,3.52
Tata Nexon,2016,8,10.93,98455,Petrol,Dealer,Manual,0,3.28
Maruti Baleno,2021,3,7.61,25700,Petrol,Dealer,Manual,0,5.46
Hyundai i20,2018,6,10.0,75086,Petrol,Dealer,Manual,0,3.57
Hyundai i20,2012,12,8.62,143401,Petrol,Dealer,Manual,0,1.2
Hyundai i20,2022,2,9.42,23107,Petrol,Dealer,Manual,0,6.94
Honda City,2023,1,14.93,8608,CNG,Dealer,Automatic,0,14.03
Tata Nexon,2019,5,12.7,50969,CNG,Dealer,Manual,1,5.03
Maruti Baleno,2015,9,8.54,123355,Petrol,Dealer,Manual,0,1.85
Tata Harrier,2017,7,17.1,94229,Diesel,Dealer,Automatic,0,6.94
Maruti Swift,2020,4,7.71,55867,CNG,Dealer,Manual,0,4.41
Tata Harrier,2023,1,18.66,14472,Diesel,Dealer,Automatic,0,17.95
Maruti Swift,2011,13,7.94,149317,Petrol,Dealer,Manual,1,1.2
Mahindra XUV700,2020,4,20.58,51331,Diesel,Dealer,Automatic,1,11.13
Tata Harrier,2015,9,19.14,122341,Diesel,Dealer,Automatic,0,5.24
Toyota Fortuner,2022,2,40.3,13712,Diesel,Dealer,Automatic,0,34.34
Toyota Fortuner,2020,4,39.96,55107,CNG,Dealer,Automatic,1,19.28
Toyota Innova Crysta,2012,12,23.25,108020,Diesel,Dealer,Manual,1,3.41
Tata Nexon,2022,2,11.61,28125,Diesel,Dealer,Manual,0,9.07
Maruti Swift,2016,8,7.77,97408,Petrol,Dealer,Automatic,0,2.1
Maruti Swift,2021,3,7.07,33172,Petrol,Dealer,Manual,0,4.82
Tata Nexon,2011,13,10.03,150063,Diesel,Dealer,Manual,0,1.98
Honda City,2013,11,12.99,136456,Petrol,Dealer,Manual,0,2.12
Toyota Innova Crysta,2015,9,23.45,106822,Diesel,Dealer,Manual,0,6.93
Honda City,2014,10,11.64,106342,Petrol,Dealer,Automatic,1,2.84
Honda City,2013,11,13.63,154351,Petrol,Dealer,Automatic,0,2.41
Honda City,2020,4,13.99,57501,Petrol,Dealer,Automatic,0,7.68
Tata Nexon,2023,1,11.92,10254,Diesel,Individual,Manual,0,10.3
Honda City,2015,9,15.73,93462,Petrol,Dealer,Automatic,0,3.53
Toyota Fortuner,2021,3,36.1,30146,Diesel,Dealer,Automatic,0,25.5
Hyundai i20,2018,6,7.57,90623,Petrol,Dealer,Manual,1,2.24
Mahindra XUV700,2021,3,20.62,26915,Diesel,Dealer,Automatic,0,14.95
Maruti Swift,2014,10,7.41,141374,Petrol,Individual,Manual,0,1.67
Maruti Swift,2011,13,6.87,144919,CNG,Dealer,Manual,1,1.2
Mahindra XUV700,2021,3,22.42,19401,Diesel,Individual,Automatic,0,15.74
Tata Nexon,2017,7,11.32,89384,Diesel,Dealer,Automatic,1,3.78
Tata Harrier,2018,6,19.04,82269,Diesel,Dealer,Automatic,0,8.42
Tata Nexon,2013,11,11.08,165855,Diesel,Dealer,Manual,0,2.59
Maruti Swift,2016,8,7.69,93044,Petrol,Individual,Manual,0,1.62
Maruti Swift,2012,12,6.84,118012,Petrol,Dealer,Manual,0,1.2
Mahindra XUV700,2017,7,21.79,74770,Diesel,Dealer,Manual,2,7.16
Honda City,2018,6,16.28,84058,Petrol,Dealer,Automatic,0,5.79
Tata Nexon,2016,8,13.1,82512,Diesel,Individual,Manual,0,4.04
Maruti Baleno,2016,8,7.57,111082,Diesel,Dealer,Manual,2,1.73
Mahindra XUV700,2015,9,22.15,98264,Diesel,Dealer,Automatic,1,6.05
Toyota Fortuner,2018,6,37.17,80718,Diesel,Dealer,Automatic,0,16.56
Maruti Swift,2011,13,6.86,167401,Petrol,Individual,Manual,2,1.26
Mahindra XUV700,2020,4,24.28,41332,Diesel,Dealer,Automatic,1,14.04
Tata Nexon,2014,10,12.22,124438,Diesel,Individual,Manual,1,2.46
Maruti Swift,2014,10,7.65,86542,Petrol,Dealer,Manual,0,1.5
Tata Harrier,2013,11,17.16,147584,Diesel,Dealer,Automatic,0,3.76
Mahindra XUV700,2013,11,21.48,129059,Petrol,Dealer,Manual,0,4.0
Toyota Innova Crysta,2014,10,24.55,139867,Diesel,Dealer,Manual,0,5.3
Maruti Swift,2021,3,8.03,32372,CNG,Individual,Manual,0,4.69
Tata Nexon,2011,13,13.36,175191,Diesel,Individual,Manual,0,2.01
Hyundai i20,2021,3,7.65,34491,CNG,Individual,Manual,0,5.03
Maruti Baleno,2023,1,8.12,6569,Petrol,Individual,Manual,0,6.88
Hyundai Creta,2021,3,15.29,36109,Diesel,Dealer,Automatic,0,11.36
Honda City,2012,12,14.52,139683,Petrol,Dealer,Automatic,1,2.43
Hyundai Creta,2019,5,16.08,71261,Diesel,Dealer,Automatic,0,8.39
Tata Nexon,2020,4,10.95,46725,Diesel,Individual,Manual,0,5.89
Toyota Fortuner,2012,12,42.15,148686,Diesel,Dealer,Automatic,1,7.82
Toyota Fortuner,2015,9,34.88,122405,Diesel,Dealer,Automatic,0,10.07
Hyundai i20,2019,5,8.11,71704,Petrol,Dealer,Manual,1,3.12
Honda City,2019,5,12.89,41705,Petrol,Dealer,Automatic,1,6.56
Toyota Innova Crysta,2018,6,22.97,57813,Diesel,Dealer,Manual,0,10.9
Hyundai i20,2011,13,7.62,122796,Petrol,Dealer,Manual,1,1.2
Hyundai Creta,2011,13,15.18,122663,Diesel,Dealer,Automatic,0,2.56
Hyundai i20,2019,5,9.55,56816,Petrol,Dealer,Manual,0,3.97
Hyundai Creta,2023,1,15.51,5322,Diesel,Dealer,Automatic,0,14.6
Maruti Swift,2021,3,8.43,35112,Petrol,Individual,Manual,0,5.24
Toyota Fortuner,2018,6,36.51,79608,Petrol,Dealer,Automatic,0,14.53
Maruti Swift,2020,4,6.74,43426,Petrol,Dealer,Manual,0,3.52
Maruti Baleno,2019,5,7.95,70917,Petrol,Dealer,Manual,1,3.54
Honda City,2017,7,15.61,90434,Petrol,Dealer,Automatic,1,4.89
Toyota Innova Crysta,2013,11,22.0,142327,Diesel,Individual,Manual,0,4.82
Hyundai Creta,2013,11,13.99,110333,Diesel,Dealer,Automatic,0,2.43
Toyota Innova Crysta,2012,12,28.52,134769,Diesel,Dealer,Manual,0,5.83
Hyundai Creta,2015,9,14.86,129257,Diesel,Individual,Automatic,0,3.32
Tata Nexon,2022,2,11.46,16811,Diesel,Individual,Manual,0,7.98
Hyundai i20,2022,2,9.35,24458,Diesel,Individual,Manual,0,6.79
Maruti Baleno,2013,11,7.35,140226,Petrol,Dealer,Manual,0,1.77
Toyota Fortuner,2016,8,34.93,74663,Diesel,Individual,Automatic,0,12.11
